corp_id,corp_name,corp_address,is_risky,risk_profile
co_1,Wright\-Vasquez,108\ Gordon\ Roads\ Port\ Jasonfurt\ \ IA\ 11951,False,NA
co_2,Drake\-Thomas,46174\ Jackson\ Center\ Medinafort\ \ UT\ 57191,False,NA
co_3,Brooks\-Small,068\ Valerie\ Drives\ Suite\ 693\ Nunezchester\ \ NM\ 39100,False,NA
co_4,Murillo\ Group,Unit\ 3922\ Box\ 4183\ DPO\ AE\ 70849,False,NA
co_5,White\-Ryan,281\ Debra\ Drive\ East\ Alexandraburgh\ \ KY\ 54101,False,NA
co_6,Thomas\-Harris,35823\ Castro\ Rapids\ Apt\.\ 480\ Williamsmouth\ \ CA\ 55134,False,NA
co_7,Ramirez\ Inc,6407\ Sweeney\ Views\ Alexandermouth\ \ CT\ 66523,False,NA
co_8,Smith_Rivers\ and\ Green,019\ Nichols\ Branch\ Guzmanland\ \ TN\ 34953,False,NA
co_9,Miller\-Carey,Unit\ 0701\ Box\ 6371\ DPO\ AE\ 09765,False,NA
co_10,Spencer\-Jones,776\ Kelly\ Field\ Apt\.\ 390\ Lake\ Richardburgh\ \ NM\ 66846,False,NA
co_11,Jones_Kent\ and\ Walker,Unit\ 8837\ Box\ 0622\ DPO\ AA\ 76992,False,NA
co_12,Conner_Mendez\ and\ Hernandez,PSC\ 8165\ \ Box\ 2068\ APO\ AA\ 49868,False,NA
co_13,Brown_Kennedy\ and\ Murillo,68998\ Foster\ Lakes\ Fergusonstad\ \ LA\ 86207,False,NA
co_14,Nguyen_Sweeney\ and\ Salazar,Unit\ 6670\ Box\ 3537\ DPO\ AE\ 86615,False,NA
co_15,Farrell_Summers\ and\ Perez,5447\ Sarah\ Plains\ Apt\.\ 246\ Wilsontown\ \ UT\ 84379,False,NA
co_16,Evans_Hartman\ and\ Santiago,7336\ Matthew\ Prairie\ East\ Jordan\ \ KY\ 74206,False,NA
co_17,Drake_Cherry\ and\ Cook,81825\ James\ Brook\ Apt\.\ 038\ Williamsview\ \ UT\ 60958,False,NA
co_18,Joyce_Underwood\ and\ Hernandez,9459\ Linda\ Burgs\ Suite\ 601\ Lopezstad\ \ NV\ 98536,False,NA
co_19,Bailey_Hayden\ and\ Flores,07348\ Martinez\ Turnpike\ Suite\ 031\ South\ Susanfurt\ \ CA\ 94966,False,NA
co_20,Harris\-Jordan,077\ Herrera\ Forest\ Apt\.\ 416\ East\ Sabrinamouth\ \ ID\ 10230,False,NA
co_21,Bailey_Decker\ and\ Boyd,0985\ Deanna\ Motorway\ Vaughnbury\ \ MA\ 78959,False,NA
co_22,Williams\ Ltd,069\ Pugh\ View\ Apt\.\ 582\ Duncanburgh\ \ IN\ 74947,False,NA
co_23,Bennett\-Munoz,79467\ Perry\ Meadows\ Davisside\ \ NY\ 93527,False,NA
