person_id,contact_id,level
p_46617,p_95395,0
p_46619,p_75593,56
p_46619,p_89341,38
p_46620,p_76157,38
p_46621,p_85655,97
p_46621,p_85707,54
p_46622,p_49263,20
p_46623,p_70385,38
p_46623,p_90498,9
p_46624,p_76303,11
p_46624,p_87256,28
p_46625,p_81043,24
p_46625,p_83584,15
p_46626,p_47267,80
p_46627,p_68787,46
p_46627,p_87342,7
p_46628,p_76543,66
p_46628,p_77656,50
p_46629,p_61475,45
p_46629,p_84571,0
p_46630,p_89017,71
p_46631,p_72705,12
p_46633,p_54721,4
p_46635,p_87646,0
p_46636,p_47671,17
p_46637,p_49525,63
p_46637,p_73318,53
p_46639,p_94727,6
p_46640,p_92875,94
p_46642,p_58264,37
p_46643,p_54493,28
p_46643,p_87869,95
p_46644,p_55384,3
p_46644,p_71649,9
p_46645,p_47506,89
p_46645,p_85066,54
p_46646,p_55521,34
p_46646,p_57931,15
p_46647,p_47508,0
p_46648,p_65193,61
p_46649,p_65780,13
p_46649,p_79204,78
p_46650,p_93634,43
p_46651,p_67415,6
p_46652,p_54079,27
p_46652,p_91172,0
p_46653,p_65606,99
p_46653,p_88722,84
p_46654,p_69392,78
p_46655,p_93454,0
p_46657,p_52092,39
p_46657,p_89446,97
p_46659,p_82520,8
p_46659,p_96832,78
p_46660,p_57706,7
p_46661,p_74371,50
p_46663,p_77953,49
p_46663,p_83789,48
p_46664,p_89827,20
p_46665,p_59402,5
p_46665,p_89386,0
p_46666,p_84966,50
p_46668,p_97226,18
p_46669,p_97170,74
p_46670,p_50024,22
p_46671,p_46923,0
p_46672,p_92256,48
p_46672,p_92382,53
p_46673,p_63625,34
p_46673,p_81384,64
p_46675,p_52032,53
p_46675,p_60881,63
p_46676,p_62810,74
p_46676,p_77160,0
p_46677,p_65487,95
p_46677,p_73974,77
p_46679,p_83657,88
p_46680,p_85771,80
p_46681,p_63567,83
p_46682,p_57952,63
p_46682,p_68210,0
p_46685,p_55618,33
p_46685,p_75666,88
p_46687,p_52308,46
p_46687,p_79893,38
p_46688,p_85484,58
p_46690,p_60821,36
p_46690,p_98011,37
p_46691,p_93261,12
p_46692,p_86736,4
p_46694,p_91248,11
p_46695,p_66049,34
p_46696,p_71294,4
p_46696,p_78073,32
p_46697,p_96826,75
p_46697,p_97820,35
p_46700,p_68753,53
p_46702,p_50851,1
p_46702,p_80726,57
p_46703,p_60734,9
p_46703,p_76294,8
p_46704,p_48140,76
p_46704,p_74565,92
p_46706,p_73650,26
p_46707,p_64410,22
p_46707,p_86617,71
p_46708,p_53503,15
p_46708,p_98590,27
p_46709,p_61927,65
p_46710,p_46967,4
p_46711,p_97203,36
p_46712,p_49561,3
p_46712,p_60369,0
p_46713,p_77278,75
p_46713,p_83863,41
p_46714,p_57995,5
p_46714,p_89815,89
p_46716,p_55668,87
p_46717,p_84615,91
p_46717,p_87547,58
p_46719,p_54759,9
p_46719,p_84432,18
p_46720,p_83948,0
p_46720,p_90044,26
p_46722,p_53346,3
p_46723,p_53957,32
p_46723,p_97665,82
p_46724,p_63381,48
p_46724,p_65996,0
p_46725,p_68560,24
p_46726,p_65776,6
p_46727,p_68730,47
p_46728,p_73478,59
p_46729,p_76779,0
p_46729,p_91617,47
p_46730,p_80189,93
p_46730,p_87929,39
p_46732,p_70222,0
p_46733,p_57724,30
p_46733,p_85857,12
p_46734,p_58037,70
p_46734,p_87516,36
p_46735,p_90998,0
p_46735,p_94749,98
p_46737,p_63591,79
p_46739,p_75660,97
p_46741,p_75926,81
p_46741,p_76809,4
p_46742,p_56795,21
p_46742,p_68439,4
p_46743,p_48662,11
p_46745,p_46824,79
p_46745,p_79016,20
p_46746,p_99458,78
p_46747,p_55589,87
p_46748,p_69761,26
p_46750,p_89139,52
p_46751,p_97154,90
p_46752,p_55561,27
p_46752,p_57383,43
p_46753,p_49091,18
p_46753,p_77648,53
p_46754,p_61565,94
p_46755,p_51071,0
p_46758,p_84452,20
p_46759,p_68760,18
p_46761,p_80012,52
p_46762,p_76990,98
p_46764,p_51915,67
p_46765,p_58064,0
p_46769,p_46919,85
p_46771,p_89481,3
p_46773,p_90110,11
p_46774,p_70670,0
p_46776,p_92033,52
p_46778,p_52593,1
p_46778,p_86295,59
p_46779,p_49987,50
p_46780,p_97894,51
p_46781,p_86856,0
p_46782,p_48516,58
p_46782,p_77936,12
p_46783,p_87020,11
p_46784,p_53762,4
p_46785,p_72600,22
p_46785,p_89067,1
p_46787,p_52289,10
p_46788,p_77588,76
p_46790,p_79445,48
p_46791,p_59740,66
p_46797,p_72562,23
p_46798,p_52975,15
p_46799,p_51062,0
p_46799,p_71381,11
p_46800,p_47103,99
p_46800,p_97573,55
p_46802,p_52392,0
p_46803,p_79106,34
p_46805,p_68474,46
p_46806,p_55118,39
p_46807,p_56013,87
p_46808,p_53174,70
p_46808,p_85787,0
p_46809,p_52577,88
p_46809,p_61483,89
p_46811,p_75109,7
p_46815,p_57268,63
p_46817,p_73978,97
p_46819,p_48378,87
p_46819,p_88243,92
p_46820,p_87870,83
p_46821,p_60902,0
p_46822,p_93713,0
p_46823,p_51798,11
p_46825,p_87566,9
p_46827,p_99929,0
p_46829,p_67072,4
p_46829,p_99195,0
p_46830,p_90338,99
p_46831,p_84735,72
p_46831,p_89956,56
p_46833,p_51661,25
p_46833,p_72622,37
p_46835,p_75709,49
p_46836,p_71427,3
p_46838,p_94744,88
p_46839,p_48303,0
p_46840,p_79959,8
p_46841,p_76292,0
p_46842,p_92124,69
p_46844,p_57708,57
p_46845,p_85160,46
p_46846,p_86403,79
p_46849,p_69698,4
p_46850,p_48567,14
p_46850,p_64830,0
p_46853,p_69218,50
p_46853,p_84114,14
p_46854,p_73365,33
p_46855,p_78492,22
p_46856,p_77741,9
p_46856,p_96425,8
p_46857,p_90970,39
p_46858,p_47575,69
p_46859,p_98226,2
p_46860,p_85267,39
p_46860,p_91879,4
p_46861,p_48247,1
p_46861,p_82728,91
p_46862,p_69462,16
p_46862,p_79841,2
p_46863,p_65317,43
p_46864,p_58968,0
p_46865,p_98348,58
p_46866,p_78425,78
p_46867,p_70253,12
p_46867,p_97442,71
p_46868,p_50138,24
p_46869,p_64452,34
p_46872,p_58773,20
p_46872,p_92749,36
p_46873,p_64222,24
p_46873,p_91412,60
p_46874,p_58986,0
p_46874,p_70968,96
p_46875,p_99032,22
p_46876,p_50868,3
p_46877,p_51831,8
p_46877,p_91989,66
p_46878,p_86773,32
p_46878,p_87840,74
p_46879,p_84377,89
p_46881,p_61573,95
p_46881,p_82916,0
p_46882,p_82025,62
p_46883,p_54793,48
p_46884,p_75868,97
p_46885,p_81822,41
p_46886,p_81193,23
p_46887,p_51236,27
p_46887,p_60191,0
p_46889,p_54187,0
p_46890,p_97866,75
p_46895,p_55163,73
p_46896,p_55893,94
p_46897,p_64607,0
p_46899,p_64421,8
p_46899,p_88602,95
p_46903,p_47532,75
p_46906,p_72330,88
p_46908,p_74794,44
p_46908,p_99516,28
p_46909,p_90209,61
p_46909,p_91277,0
p_46910,p_96702,0
p_46911,p_52403,0
p_46912,p_57337,34
p_46912,p_87225,89
p_46913,p_63824,0
p_46915,p_74051,13
p_46916,p_65660,66
p_46916,p_79288,19
p_46917,p_68329,3
p_46917,p_94225,69
p_46918,p_95691,43
p_46918,p_96943,93
p_46921,p_89903,20
p_46923,p_98468,9
p_46924,p_89544,45
p_46925,p_76687,3
p_46925,p_91040,10
p_46926,p_77659,21
p_46927,p_59412,44
p_46928,p_60180,31
p_46928,p_70145,0
p_46929,p_48884,31
p_46930,p_92191,20
p_46931,p_95177,97
p_46932,p_52342,3
p_46933,p_70964,69
p_46934,p_66266,66
p_46934,p_98459,71
p_46935,p_86515,62
p_46936,p_75195,72
p_46937,p_65982,90
p_46941,p_72857,58
p_46941,p_84475,73
p_46943,p_56991,89
p_46943,p_68051,69
p_46944,p_82883,88
p_46945,p_96948,5
p_46946,p_50419,79
p_46946,p_56724,71
p_46947,p_50264,92
p_46947,p_90523,56
p_46948,p_60255,95
p_46950,p_47664,78
p_46950,p_92658,42
p_46951,p_89508,26
p_46952,p_68283,4
p_46952,p_72675,30
p_46953,p_76297,24
p_46954,p_75026,84
p_46955,p_72504,33
p_46956,p_55337,44
p_46956,p_61928,1
p_46957,p_90020,99
p_46957,p_90147,3
p_46960,p_69386,0
p_46962,p_49573,74
p_46963,p_74864,14
p_46963,p_81364,5
p_46964,p_74284,58
p_46966,p_68574,0
p_46967,p_77838,19
p_46968,p_52678,1
p_46969,p_93208,4
p_46970,p_50228,69
p_46970,p_53260,73
p_46971,p_69368,3
p_46972,p_79880,9
p_46974,p_81194,26
p_46977,p_73758,8
p_46978,p_54805,94
p_46978,p_84584,12
p_46981,p_65695,85
p_46981,p_89796,7
p_46982,p_94563,33
p_46982,p_96056,39
p_46983,p_54857,32
p_46985,p_99401,26
p_46988,p_63049,0
p_46991,p_55144,63
p_46992,p_56911,92
p_46993,p_60647,60
p_46995,p_70826,7
p_46996,p_90175,0
p_46997,p_58205,16
p_46997,p_88909,2
p_46998,p_53792,84
p_46999,p_52528,73
p_47000,p_73243,9
p_47001,p_84019,0
p_47001,p_94089,21
p_47002,p_51802,34
p_47003,p_61246,35
p_47003,p_74822,85
p_47004,p_87772,71
p_47005,p_93030,65
p_47006,p_53016,98
p_47007,p_55817,47
p_47007,p_88997,3
p_47008,p_83637,91
p_47009,p_99344,11
p_47010,p_73935,3
p_47011,p_69090,38
p_47013,p_82294,26
p_47015,p_74135,71
p_47016,p_75212,22
p_47017,p_82843,1
p_47018,p_67781,46
p_47019,p_58251,73
p_47019,p_84605,4
p_47020,p_65714,41
p_47021,p_73562,19
p_47021,p_92916,26
p_47023,p_66538,95
p_47024,p_80830,19
p_47025,p_51601,60
p_47027,p_70488,91
p_47027,p_83275,0
p_47028,p_92733,12
p_47029,p_70042,12
p_47029,p_91599,54
p_47030,p_75916,25
p_47030,p_77302,9
p_47031,p_72634,84
p_47031,p_82899,18
p_47032,p_62850,2
p_47032,p_74406,77
p_47033,p_63513,68
p_47033,p_92248,81
p_47037,p_47979,25
p_47037,p_86752,24
p_47038,p_91307,72
p_47041,p_49790,52
p_47041,p_54644,67
p_47042,p_62621,82
p_47043,p_49877,80
p_47043,p_61369,53
p_47044,p_85812,24
p_47046,p_85837,0
p_47047,p_71355,39
p_47049,p_97461,0
p_47050,p_91368,64
p_47052,p_54411,0
p_47054,p_63557,8
p_47055,p_62170,0
p_47058,p_55572,13
p_47059,p_61216,4
p_47059,p_91973,0
p_47060,p_95807,0
p_47061,p_71950,7
p_47061,p_87140,50
p_47065,p_51893,1
p_47065,p_65962,72
p_47066,p_82557,32
p_47067,p_86889,51
p_47069,p_78178,0
p_47071,p_77808,54
p_47072,p_59520,44
p_47073,p_71938,92
p_47073,p_87208,31
p_47076,p_70860,31
p_47078,p_83612,26
p_47080,p_48854,64
p_47082,p_75822,7
p_47082,p_79181,6
p_47084,p_61214,30
p_47085,p_55300,90
p_47085,p_92862,59
p_47089,p_82365,69
p_47092,p_62006,16
p_47092,p_99109,98
p_47094,p_82990,56
p_47095,p_61338,3
p_47095,p_77784,26
p_47096,p_62278,58
p_47097,p_59105,0
p_47097,p_67192,94
p_47099,p_75397,45
p_47101,p_75607,0
p_47102,p_77709,0
p_47103,p_51845,72
p_47104,p_63744,76
p_47106,p_96545,40
p_47107,p_76007,62
p_47108,p_48161,69
p_47108,p_91112,76
p_47109,p_78347,62
p_47110,p_77809,31
p_47111,p_70918,53
p_47111,p_75758,59
p_47112,p_96366,9
p_47113,p_74834,84
p_47116,p_61281,17
p_47116,p_70735,24
p_47117,p_59713,0
p_47117,p_88186,54
p_47118,p_84684,52
p_47118,p_85727,48
p_47121,p_79733,0
p_47122,p_51273,0
p_47123,p_69228,68
p_47125,p_96972,7
p_47126,p_77875,8
p_47127,p_79722,39
p_47128,p_48684,9
p_47128,p_96255,35
p_47130,p_92810,0
p_47132,p_59039,12
p_47134,p_61770,9
p_47138,p_51320,94
p_47141,p_58451,97
p_47141,p_97772,97
p_47142,p_84645,14
p_47143,p_61443,44
p_47145,p_66028,58
p_47146,p_51911,95
p_47147,p_96746,84
p_47148,p_72786,1
p_47149,p_78512,45
p_47152,p_69164,51
p_47152,p_75608,69
p_47153,p_59856,91
p_47153,p_73940,2
p_47154,p_89339,54
p_47155,p_87380,46
p_47157,p_62184,65
p_47157,p_91059,26
p_47158,p_55256,47
p_47158,p_81407,22
p_47159,p_67664,4
p_47161,p_47894,45
p_47161,p_60666,0
p_47163,p_51147,8
p_47164,p_51757,16
p_47166,p_52940,2
p_47166,p_58438,13
p_47167,p_97937,10
p_47170,p_52863,9
p_47170,p_91650,60
p_47171,p_78990,83
p_47171,p_93449,66
p_47172,p_79863,80
p_47173,p_78836,95
p_47173,p_99462,0
p_47175,p_50086,0
p_47176,p_72430,63
p_47176,p_77028,74
p_47179,p_90618,29
p_47180,p_51588,26
p_47182,p_75177,12
p_47184,p_47812,88
p_47186,p_50349,90
p_47186,p_54032,22
p_47187,p_59663,28
p_47188,p_74292,6
p_47189,p_47370,7
p_47191,p_62084,85
p_47193,p_65290,29
p_47193,p_82182,52
p_47194,p_82570,6
p_47195,p_62466,58
p_47196,p_54209,81
p_47197,p_51313,66
p_47197,p_71493,25
p_47199,p_59225,90
p_47200,p_51709,80
p_47200,p_87079,96
p_47202,p_97599,23
p_47202,p_98370,50
p_47203,p_74842,36
p_47204,p_60677,42
p_47204,p_64727,0
p_47205,p_82943,51
p_47207,p_93859,8
p_47208,p_63200,72
p_47209,p_65476,52
p_47210,p_95359,9
p_47211,p_66316,68
p_47211,p_99389,40
p_47212,p_50101,56
p_47213,p_55956,0
p_47215,p_74952,17
p_47215,p_88456,87
p_47216,p_69453,30
p_47217,p_86150,81
p_47218,p_61370,52
p_47218,p_94892,0
p_47219,p_77108,99
p_47219,p_81762,4
p_47220,p_78934,32
p_47221,p_91985,64
p_47223,p_61770,90
p_47224,p_47365,34
p_47224,p_98445,22
p_47226,p_83737,36
p_47226,p_92404,8
p_47228,p_60427,35
p_47228,p_63647,47
p_47229,p_80256,3
p_47230,p_63388,57
p_47232,p_82127,67
p_47233,p_71284,91
p_47233,p_98797,54
p_47234,p_83883,33
p_47235,p_75023,9
p_47236,p_50591,98
p_47237,p_82022,30
p_47238,p_95734,8
p_47239,p_96960,98
p_47242,p_99428,43
p_47243,p_59838,7
p_47243,p_98934,33
p_47244,p_84597,46
p_47245,p_93838,94
p_47246,p_49973,8
p_47246,p_93113,71
p_47247,p_62676,67
p_47248,p_96326,81
p_47250,p_71283,19
p_47250,p_87458,77
p_47251,p_68672,43
p_47251,p_74758,7
p_47253,p_76839,0
p_47254,p_68089,74
p_47254,p_88845,25
p_47255,p_64612,0
p_47259,p_72871,92
p_47261,p_95033,48
p_47263,p_55576,8
p_47266,p_92167,13
p_47267,p_92935,0
p_47269,p_53674,87
p_47269,p_63958,0
p_47270,p_71602,95
p_47271,p_58803,29
p_47272,p_92482,7
p_47273,p_64107,87
p_47274,p_83390,54
p_47275,p_66737,0
p_47276,p_76493,0
p_47277,p_95807,52
p_47278,p_84067,91
p_47279,p_64346,92
p_47279,p_72153,90
p_47280,p_53759,12
p_47283,p_55048,79
p_47284,p_83785,0
p_47285,p_65679,83
p_47286,p_62360,48
p_47287,p_75666,91
p_47289,p_58180,97
p_47289,p_82187,0
p_47292,p_51982,0
p_47293,p_73361,73
p_47294,p_64512,0
p_47294,p_97732,43
p_47295,p_79551,5
p_47296,p_68273,93
p_47296,p_87225,47
p_47299,p_63927,17
p_47299,p_82903,51
p_47300,p_81743,75
p_47302,p_52605,3
p_47302,p_88830,80
p_47303,p_80629,80
p_47304,p_49343,0
p_47308,p_52450,22
p_47310,p_63002,28
p_47311,p_77240,44
p_47312,p_77071,22
p_47313,p_95259,7
p_47314,p_57882,7
p_47315,p_77007,0
p_47315,p_93737,45
p_47317,p_70835,19
p_47319,p_73503,74
p_47320,p_74995,87
p_47320,p_97557,2
p_47321,p_61631,21
p_47321,p_97281,7
p_47322,p_90109,42
p_47325,p_75543,42
p_47326,p_95269,44
p_47326,p_95725,55
p_47327,p_89790,39
p_47329,p_49076,4
p_47331,p_88008,0
p_47333,p_95758,0
p_47334,p_49285,72
p_47335,p_54284,9
p_47336,p_64700,29
p_47336,p_80076,78
p_47337,p_72741,57
p_47338,p_82488,3
p_47339,p_57420,74
p_47339,p_84060,88
p_47343,p_88313,78
p_47343,p_96169,59
p_47344,p_50207,52
p_47347,p_91548,0
p_47348,p_60239,20
p_47348,p_98351,30
p_47349,p_57191,19
p_47350,p_55824,51
p_47352,p_85713,52
p_47353,p_81759,0
p_47353,p_86971,64
p_47354,p_69550,29
p_47355,p_77845,62
p_47356,p_78247,36
p_47357,p_59196,4
p_47358,p_56692,9
p_47359,p_92734,51
p_47360,p_60327,50
p_47362,p_54176,61
p_47363,p_59530,62
p_47364,p_70394,0
p_47365,p_51275,53
p_47366,p_72442,6
p_47366,p_75582,49
p_47368,p_70715,99
p_47369,p_54446,0
p_47371,p_99566,8
p_47372,p_76243,32
p_47373,p_91066,88
p_47374,p_83791,8
p_47376,p_73596,0
p_47377,p_56409,96
p_47377,p_78004,6
p_47378,p_90105,30
p_47379,p_94222,95
p_47379,p_97690,93
p_47382,p_61199,54
p_47383,p_81679,0
p_47386,p_67286,84
p_47388,p_53407,39
p_47388,p_87090,31
p_47390,p_65152,88
p_47391,p_77698,35
p_47392,p_49613,99
p_47394,p_53652,60
p_47396,p_80967,42
