src_id,dst_id,d_id,src_device_start_time,dst_device_start_time
p_4981,p_67711,pn_12,2020-08-22,2020-09-05
p_4982,p_10249,pn_1,2019-08-30,2020-03-25
p_4982,p_13859,pn_4117,2022-04-03,2022-03-28
p_4982,p_43037,pn_1533,2019-06-06,2019-10-22
p_4982,p_81018,pn_1930,2021-02-21,2020-05-06
p_4983,p_13459,pn_3208,2020-10-11,2020-12-29
p_4983,p_47495,pn_37,2020-06-07,2021-01-09
p_4983,p_66871,pn_1417,2020-12-15,2022-04-30
p_4983,p_72729,pn_65,2022-01-28,2019-12-14
p_4983,p_78869,pn_1,2022-03-30,2021-09-04
p_4984,p_6877,pn_3073,2020-06-25,2021-10-07
p_4984,p_24178,pn_1,2020-01-22,2021-02-21
p_4984,p_24336,pn_1,2021-01-14,2019-09-21
p_4984,p_88865,pn_3042,2020-10-04,2019-11-27
p_4984,p_96494,pn_1720,2022-01-18,2019-09-20
p_4985,p_30236,pn_1,2021-05-03,2022-03-10
p_4985,p_38319,pn_1503,2019-08-19,2020-05-07
p_4985,p_77506,pn_712,2020-05-26,2021-04-02
p_4986,p_25534,pn_6,2021-08-01,2021-03-12
p_4986,p_27482,pn_5336,2021-06-17,2020-05-06
p_4986,p_33363,pn_17,2021-09-11,2021-11-10
p_4986,p_41049,pn_131,2020-01-10,2020-09-15
p_4986,p_88075,pn_5382,2019-11-14,2019-05-14
p_4987,p_49261,pn_3793,2020-11-14,2020-01-25
p_4987,p_54523,pn_88,2020-07-05,2020-01-08
p_4987,p_91764,pn_513,2022-04-26,2021-12-03
p_4987,p_99647,pn_278,2021-03-15,2020-10-23
p_4988,p_6853,pn_1,2021-08-16,2020-12-30
p_4988,p_7148,pn_1,2019-06-16,2021-08-07
p_4988,p_14849,pn_2126,2020-08-05,2019-05-20
p_4988,p_16303,pn_2899,2021-11-29,2022-03-25
p_4988,p_58145,pn_2477,2020-02-20,2020-02-10
p_4989,p_6304,pn_118,2021-12-07,2019-07-15
p_4989,p_6644,pn_4739,2019-09-14,2019-08-27
p_4989,p_15667,pn_1396,2019-06-20,2020-03-11
p_4989,p_39299,pn_9,2020-06-26,2020-03-23
p_4990,p_32772,pn_5575,2022-04-13,2021-04-01
p_4990,p_67950,pn_5533,2022-03-12,2022-05-05
p_4990,p_86259,pn_83,2020-11-06,2021-08-11
p_4990,p_90746,pn_4135,2020-05-18,2021-07-16
p_4990,p_96595,pn_823,2021-06-15,2019-07-28
p_4991,p_23691,pn_2240,2021-04-30,2020-08-12
p_4991,p_61201,pn_2672,2019-09-04,2022-05-07
p_4991,p_65698,pn_3849,2021-07-03,2021-04-25
p_4991,p_77543,pn_4473,2022-03-31,2019-06-13
p_4992,p_10885,pn_3602,2021-03-05,2019-09-09
p_4992,p_13913,pn_3542,2020-12-21,2019-12-27
p_4992,p_28859,pn_3643,2020-03-03,2022-01-26
p_4992,p_45772,pn_2172,2021-01-17,2022-04-12
p_4992,p_99289,pn_5,2020-01-01,2021-07-21
p_4993,p_6860,pn_3327,2019-06-21,2020-05-17
p_4993,p_44581,pn_753,2020-12-16,2020-06-27
p_4993,p_50888,pn_1605,2021-10-22,2020-01-05
p_4993,p_54139,pn_5856,2021-12-12,2020-06-03
p_4994,p_28320,pn_1814,2021-07-02,2020-09-03
p_4994,p_28648,pn_782,2020-08-10,2020-01-20
p_4994,p_34114,pn_30,2021-02-02,2022-02-23
p_4994,p_68001,pn_3490,2020-05-16,2019-10-31
p_4994,p_79272,pn_390,2021-08-08,2020-01-11
p_4995,p_15604,pn_1,2020-11-03,2022-01-09
p_4995,p_16670,pn_1066,2021-10-27,2020-02-17
p_4995,p_49170,pn_7,2022-01-29,2020-02-10
p_4995,p_56959,pn_630,2021-09-28,2020-12-30
p_4995,p_71316,pn_1,2021-05-06,2022-04-29
p_4996,p_6835,pn_105,2021-03-18,2020-04-30
p_4996,p_19746,pn_3,2020-07-14,2021-06-30
p_4996,p_23269,pn_524,2021-12-31,2020-08-25
p_4996,p_52565,pn_18,2020-04-21,2022-04-23
p_4997,p_15986,pn_1463,2020-09-18,2020-04-07
p_4997,p_27153,pn_3491,2019-10-30,2021-06-14
p_4997,p_53386,pn_3571,2021-04-11,2019-10-17
p_4998,p_12510,pn_56,2022-02-21,2021-10-20
p_4998,p_16854,pn_4682,2021-01-12,2020-12-30
p_4998,p_49568,pn_84,2021-11-29,2020-06-22
p_4998,p_90054,pn_9,2019-06-05,2022-02-22
p_4999,p_6868,pn_2035,2020-03-09,2019-11-02
p_4999,p_21069,pn_1119,2019-09-19,2019-09-13
p_4999,p_42418,pn_1,2019-08-23,2022-01-26
p_4999,p_72827,pn_1,2020-04-24,2019-05-13
p_4999,p_76426,pn_24,2019-10-18,2019-08-20
p_5000,p_29497,pn_882,2020-06-26,2021-12-12
p_5000,p_76126,pn_5436,2020-03-19,2020-10-28
p_5000,p_82182,pn_30,2020-12-30,2021-01-19
p_5000,p_92905,pn_4606,2021-03-27,2019-10-07
p_5000,p_96861,pn_3845,2019-06-09,2020-09-17
p_5001,p_6425,pn_4216,2021-04-13,2019-10-30
p_5001,p_14136,pn_2299,2021-01-16,2022-04-05
p_5001,p_18582,pn_13,2020-10-25,2020-08-28
p_5001,p_48531,pn_1,2021-06-20,2020-05-18
p_5002,p_21680,pn_1,2020-07-27,2020-09-11
