src_id,dst_id,corp_id,src_work_for_start_time,dst_work_for_start_time
p_27169,p_72410,co_9184,2021-04-06,2019-07-24
p_27170,p_42422,co_835,2020-07-04,2021-05-19
p_27170,p_88571,co_6217,2020-08-08,2020-02-10
p_27171,p_38918,co_2,2019-10-08,2019-10-14
p_27171,p_89015,co_3075,2020-01-17,2019-09-28
p_27172,p_32605,co_197,2019-06-15,2022-05-05
p_27172,p_50302,co_5860,2021-10-26,2020-07-15
p_27173,p_43044,co_5385,2019-10-11,2020-03-05
p_27173,p_60052,co_1,2021-10-01,2019-09-11
p_27173,p_83342,co_4,2021-11-28,2022-02-22
p_27174,p_31949,co_7,2021-06-27,2020-05-29
p_27174,p_94896,co_447,2020-11-06,2021-02-06
p_27175,p_31449,co_902,2019-10-26,2020-02-03
p_27176,p_73306,co_905,2022-02-04,2021-02-07
p_27177,p_67595,co_1,2022-01-31,2019-08-01
p_27177,p_91500,co_8629,2020-10-17,2021-07-17
p_27178,p_39719,co_6777,2020-01-03,2020-08-18
p_27178,p_80857,co_525,2022-03-20,2019-07-13
p_27179,p_31671,co_6250,2022-03-05,2020-12-27
p_27179,p_42298,co_6154,2021-09-23,2022-04-30
p_27179,p_57004,co_6447,2019-12-29,2021-01-10
p_27180,p_88595,co_3948,2019-10-15,2022-01-26
p_27181,p_45844,co_858,2022-03-18,2022-03-05
p_27182,p_89198,co_10,2020-06-06,2020-07-09
p_27183,p_43204,co_775,2021-04-28,2019-09-30
p_27184,p_49425,co_3151,2022-01-12,2020-04-07
p_27184,p_55841,co_6482,2021-11-23,2019-06-09
p_27185,p_32547,co_54,2022-03-08,2019-11-17
p_27185,p_50499,co_47,2021-01-28,2020-10-22
p_27186,p_55658,co_2450,2021-12-04,2021-05-11
p_27186,p_60039,co_2,2021-11-04,2021-02-27
p_27187,p_45724,co_4758,2019-12-07,2020-05-20
p_27187,p_49141,co_1,2021-12-17,2020-02-09
p_27187,p_84465,co_4,2019-11-16,2021-06-12
p_27188,p_35093,co_3443,2021-02-23,2021-10-03
p_27188,p_72019,co_94,2020-03-30,2019-10-30
p_27189,p_34151,co_4826,2020-02-27,2021-12-08
p_27190,p_29231,co_8409,2021-03-25,2021-01-18
p_27190,p_70431,co_3,2020-06-01,2020-02-21
p_27191,p_43673,co_2127,2020-03-14,2021-10-05
p_27191,p_65481,co_2531,2021-01-29,2020-03-01
p_27192,p_32844,co_1,2019-09-13,2020-08-15
p_27192,p_47850,co_9,2020-05-12,2019-12-28
p_27193,p_51091,co_8980,2021-11-29,2020-01-25
p_27193,p_90735,co_9,2021-01-13,2020-12-23
p_27194,p_29111,co_4482,2021-06-09,2020-11-28
p_27194,p_53731,co_1,2019-07-29,2019-05-20
p_27194,p_84283,co_540,2020-09-21,2022-03-23
p_27195,p_60058,co_5001,2021-12-11,2019-11-11
p_27195,p_69110,co_1,2022-03-17,2020-03-12
p_27196,p_90885,co_8214,2020-03-10,2019-10-04
p_27197,p_27503,co_4767,2020-03-19,2021-01-24
p_27197,p_31107,co_2734,2021-08-07,2019-10-14
p_27198,p_41852,co_8,2021-12-20,2021-04-16
p_27198,p_98891,co_791,2020-01-23,2022-04-03
p_27199,p_72452,co_1,2019-09-11,2020-12-05
p_27199,p_80635,co_49,2020-12-11,2020-04-10
p_27200,p_56255,co_987,2020-08-13,2020-10-04
p_27201,p_59395,co_2,2022-03-13,2019-11-18
p_27202,p_31741,co_7,2020-03-03,2020-10-16
p_27202,p_69566,co_8462,2020-08-16,2022-05-06
p_27203,p_98882,co_575,2020-05-12,2020-09-23
p_27204,p_67217,co_9483,2021-08-18,2021-10-16
p_27204,p_69497,co_2387,2021-12-27,2021-04-02
p_27205,p_31637,co_5,2021-06-08,2020-05-15
p_27205,p_43663,co_1046,2021-04-05,2020-11-27
p_27205,p_45582,co_169,2020-01-06,2020-11-08
p_27206,p_77877,co_2899,2020-03-20,2021-07-16
p_27208,p_63421,co_11,2020-11-22,2021-10-19
p_27208,p_84275,co_848,2020-12-28,2019-06-23
p_27208,p_97110,co_3155,2020-03-06,2021-01-06
p_27209,p_37982,co_1,2021-09-20,2019-11-01
p_27209,p_62768,co_5349,2021-09-29,2020-07-11
p_27209,p_87204,co_47,2021-10-23,2020-08-08
p_27210,p_39055,co_5822,2020-02-17,2020-11-13
p_27210,p_44522,co_7,2022-02-27,2021-06-06
p_27211,p_36882,co_47,2019-11-23,2021-11-05
p_27211,p_40666,co_6860,2020-08-06,2020-01-24
p_27213,p_56392,co_8,2019-10-04,2019-11-19
p_27213,p_68661,co_2554,2020-03-19,2020-03-21
p_27214,p_39266,co_3001,2020-12-26,2019-11-02
p_27214,p_47101,co_1,2019-07-20,2022-02-27
p_27214,p_65707,co_3,2021-05-12,2022-01-10
p_27215,p_33181,co_1,2020-07-04,2020-12-29
p_27215,p_51438,co_427,2020-02-23,2021-01-09
p_27215,p_56430,co_62,2020-04-09,2021-04-10
p_27216,p_28921,co_171,2021-11-12,2019-12-13
p_27216,p_61983,co_38,2021-11-30,2021-08-19
p_27217,p_53384,co_5216,2020-09-18,2020-01-31
p_27218,p_48357,co_1,2021-11-27,2021-10-05
p_27218,p_54541,co_44,2021-07-23,2020-09-11
p_27218,p_90850,co_9,2020-05-15,2021-01-09
p_27219,p_33393,co_5,2020-11-17,2020-02-13
p_27219,p_46657,co_2845,2020-12-09,2022-01-27
p_27220,p_70002,co_5,2020-08-13,2020-12-27
p_27220,p_73671,co_4,2019-10-29,2019-12-24
