src_id,dst_id,pn_id
p_1,p_9455,pn_87
p_1,p_34113,pn_796
p_1,p_65418,pn_5897
p_1,p_81579,pn_1
p_1,p_84544,pn_100
p_1,p_94482,pn_3850
p_2,p_18458,pn_1424
p_2,p_27818,pn_926
p_2,p_30227,pn_1
p_2,p_71901,pn_4015
p_2,p_73222,pn_71
p_2,p_84438,pn_1093
p_3,p_966,pn_388
p_3,p_37955,pn_4996
p_3,p_42680,pn_3507
p_3,p_67574,pn_1005
p_3,p_67921,pn_4905
p_3,p_98057,pn_1296
p_4,p_48,pn_5
p_4,p_3232,pn_1446
p_4,p_25010,pn_1013
p_4,p_61140,pn_2028
p_4,p_83860,pn_4781
p_4,p_88176,pn_2738
p_5,p_1794,pn_8
p_5,p_10190,pn_4965
p_5,p_41151,pn_90
p_5,p_78719,pn_3893
p_5,p_82081,pn_4409
p_5,p_85109,pn_3085
p_6,p_59,pn_2
p_6,p_5212,pn_3981
p_6,p_10604,pn_2101
p_6,p_23689,pn_43
p_6,p_64621,pn_62
p_6,p_89659,pn_3303
p_7,p_10647,pn_1554
p_7,p_16458,pn_724
p_7,p_22786,pn_556
p_7,p_51705,pn_1865
p_7,p_65131,pn_4599
p_7,p_72079,pn_53
p_8,p_1292,pn_722
p_8,p_2076,pn_2326
p_8,p_7643,pn_567
p_8,p_13539,pn_1
p_8,p_37997,pn_4449
p_8,p_70106,pn_83
p_9,p_5649,pn_1009
p_9,p_45933,pn_5516
p_9,p_49217,pn_2517
p_9,p_52404,pn_86
p_9,p_58938,pn_5297
p_9,p_82455,pn_4265
p_10,p_4914,pn_1762
p_10,p_20987,pn_9
p_10,p_26543,pn_2894
p_10,p_32837,pn_10
p_10,p_34219,pn_2798
p_10,p_86810,pn_4435
p_11,p_6603,pn_92
p_11,p_14210,pn_3185
p_11,p_42464,pn_2397
p_11,p_48303,pn_8
p_11,p_72849,pn_1
p_11,p_96832,pn_620
p_12,p_1442,pn_2746
p_12,p_7404,pn_1073
p_12,p_53478,pn_1739
p_12,p_56717,pn_1676
p_12,p_65577,pn_633
p_12,p_70690,pn_2108
p_13,p_4503,pn_427
p_13,p_5068,pn_2277
p_13,p_13523,pn_3610
p_13,p_39135,pn_5730
p_13,p_46867,pn_55
p_13,p_54133,pn_88
p_14,p_13749,pn_22
p_14,p_17561,pn_210
p_14,p_34961,pn_92
p_14,p_52900,pn_4
p_14,p_55978,pn_31
p_14,p_71264,pn_5140
p_15,p_3343,pn_5696
p_15,p_13478,pn_189
p_15,p_22249,pn_1
p_15,p_32850,pn_5878
p_15,p_38400,pn_635
p_15,p_70595,pn_2681
p_16,p_3949,pn_863
p_16,p_10165,pn_4101
p_16,p_15886,pn_4144
p_16,p_64443,pn_645
p_16,p_68013,pn_529
p_16,p_69889,pn_5281
p_17,p_18594,pn_6
p_17,p_35337,pn_1
p_17,p_54256,pn_1
p_17,p_71868,pn_3
p_17,p_77187,pn_468
p_17,p_81814,pn_3326
p_18,p_6725,pn_3937
p_18,p_7095,pn_725
