src_id,dst_id,corp_id,pn_id,src_work_for_start_time
p_35348,p_61805,co_4542,pn_209,2020-02-19
p_35349,p_94608,co_5441,pn_637,2022-01-30
p_35350,p_38371,co_3119,pn_922,2022-03-06
p_35350,p_79810,co_5492,pn_870,2020-03-31
p_35352,p_74347,co_2226,pn_2645,2021-01-15
p_35353,p_43720,co_8955,pn_4078,2019-07-04
p_35354,p_77998,co_919,pn_914,2021-01-25
p_35355,p_57941,co_3,pn_170,2020-07-24
p_35355,p_86839,co_1,pn_240,2021-06-04
p_35356,p_84990,co_1,pn_1,2021-03-01
p_35357,p_51029,co_6013,pn_275,2022-01-14
p_35358,p_94110,co_9247,pn_2520,2021-05-06
p_35358,p_98791,co_6,pn_4302,2021-01-30
p_35359,p_42807,co_3036,pn_661,2021-08-30
p_35360,p_99910,co_530,pn_4517,2022-04-06
p_35362,p_51246,co_385,pn_189,2019-08-18
p_35362,p_59984,co_2,pn_2768,2022-03-01
p_35363,p_67114,co_1,pn_95,2021-12-29
p_35364,p_55975,co_8094,pn_157,2020-08-11
p_35365,p_64510,co_5022,pn_3,2021-02-12
p_35367,p_85916,co_487,pn_2326,2021-09-16
p_35368,p_37230,co_3768,pn_3892,2020-06-11
p_35369,p_99072,co_973,pn_5528,2019-06-29
p_35370,p_49329,co_3340,pn_7,2020-03-09
p_35370,p_96672,co_995,pn_5602,2020-11-19
p_35371,p_68935,co_118,pn_2098,2019-08-03
p_35371,p_80727,co_1,pn_3025,2020-04-12
p_35372,p_82833,co_1449,pn_5184,2021-10-25
p_35372,p_94631,co_4,pn_4428,2019-06-26
p_35374,p_69532,co_820,pn_1300,2020-06-29
p_35374,p_91795,co_15,pn_355,2021-01-23
p_35375,p_58445,co_3667,pn_988,2021-09-15
p_35377,p_49168,co_4719,pn_911,2019-06-23
p_35377,p_80567,co_428,pn_5422,2022-01-15
p_35378,p_37388,co_8,pn_1,2020-06-20
p_35379,p_70723,co_3368,pn_98,2022-03-18
p_35380,p_86025,co_6616,pn_3,2021-03-04
p_35381,p_48865,co_5801,pn_4882,2019-06-19
p_35382,p_51725,co_4000,pn_1950,2020-02-15
p_35382,p_92917,co_8,pn_5556,2021-11-21
p_35384,p_71936,co_4404,pn_2193,2020-07-07
p_35385,p_84247,co_6146,pn_242,2020-04-24
p_35386,p_36557,co_1,pn_1616,2021-12-21
