corp_id,corp_name,corp_address,is_risky,risk_profile
50000001,Romero\ LLC,6534\ Curry\ Field\ Suite\ 782\ South\ Jamesview\ \ ND\ 36735,False,NA
50000002,Ryan\-Norris,8486\ Martin\ Tunnel\ Apt\.\ 561\ Edwardshire\ \ CT\ 30403,False,NA
50000003,Watkins\-Rios,Unit\ 6505\ Box\ 8006\ DPO\ AP\ 17585,False,NA
50000004,Mcdowell_Smith\ and\ Brennan,906\ Hill\ Loaf\ Suite\ 444\ Juliaview\ \ UT\ 61784,False,NA
50000005,Ramirez_Moreno\ and\ Rivera,606\ Hernandez\ Tunnel\ Suite\ 069\ Petersonland\ \ VT\ 69151,False,NA
50000006,Shaw\-Lynn,434\ Robyn\ Plains\ Apt\.\ 202\ Molinahaven\ \ SD\ 97327,False,NA
50000007,Jimenez\ Inc,2379\ Fred\ Hill\ New\ Cory\ \ HI\ 14117,False,NA
50000008,Carr\-Flowers,568\ Tucker\ Isle\ Apt\.\ 713\ Crawfordside\ \ CO\ 61811,False,NA
50000009,Johnson\-Hurst,2765\ Lyons\ Islands\ East\ Jamesside\ \ NY\ 75322,False,NA
500000010,Chan_Jackson\ and\ Cook,815\ Wilkins\ Parks\ Rachelchester\ \ VA\ 57950,False,NA
500000011,Wallace\-Webster,5886\ James\ Lane\ Suite\ 592\ Bentleystad\ \ SD\ 09554,False,NA
500000012,Wood\-Torres,07198\ Johnson\ Inlet\ Apt\.\ 253\ North\ Casey\ \ MN\ 20344,False,NA
500000013,Crawford_Coleman\ and\ Lewis,39592\ Jackson\ Pine\ Apt\.\ 305\ Brandystad\ \ CT\ 01915,False,NA
500000014,Wong_Porter\ and\ Moore,851\ Mills\ Spur\ Delgadoport\ \ IL\ 68299,False,NA
500000015,Pena\-Prince,076\ Salinas\ Drive\ Suite\ 298\ North\ James\ \ NM\ 77645,False,NA
500000016,Smith_Figueroa\ and\ Novak,80965\ Mccoy\ Course\ Nicholasborough\ \ WV\ 24677,False,NA
500000017,Taylor\-Brown,Unit\ 9941\ Box\ 7586\ DPO\ AE\ 06290,False,NA
