person_id,contact_id,level
200000046617,200000095395,0
200000046619,200000075593,99
200000046619,200000089341,22
200000046620,200000076157,0
200000046621,200000085655,49
200000046621,200000085707,7
200000046622,200000049263,6
200000046623,200000070385,3
200000046623,200000090498,55
200000046624,200000076303,5
200000046624,200000087256,0
200000046625,200000081043,75
200000046625,200000083584,4
200000046626,200000047267,4
200000046627,200000068787,39
200000046627,200000087342,3
200000046628,200000076543,99
200000046628,200000077656,12
200000046629,200000061475,55
200000046629,200000084571,9
200000046630,200000089017,0
200000046631,200000072705,0
200000046633,200000054721,26
200000046635,200000087646,33
200000046636,200000047671,48
200000046637,200000049525,73
200000046637,200000073318,79
200000046639,200000094727,15
200000046640,200000092875,19
200000046642,200000058264,81
200000046643,200000054493,85
200000046643,200000087869,8
200000046644,200000055384,18
200000046644,200000071649,87
200000046645,200000047506,19
200000046645,200000085066,34
200000046646,200000055521,0
200000046646,200000057931,16
200000046647,200000047508,0
200000046648,200000065193,76
200000046649,200000065780,19
200000046649,200000079204,6
200000046650,200000093634,86
200000046651,200000067415,81
200000046652,200000054079,78
200000046652,200000091172,67
200000046653,200000065606,48
200000046653,200000088722,4
200000046654,200000069392,83
200000046655,200000093454,4
200000046657,200000052092,53
200000046657,200000089446,0
200000046659,200000082520,12
200000046659,200000096832,6
200000046660,200000057706,60
200000046661,200000074371,49
200000046663,200000077953,97
200000046663,200000083789,36
200000046664,200000089827,58
200000046665,200000059402,0
200000046665,200000089386,38
200000046666,200000084966,42
200000046668,200000097226,0
200000046669,200000097170,71
200000046670,200000050024,0
200000046671,200000046923,58
200000046672,200000092256,88
200000046672,200000092382,7
200000046673,200000063625,21
200000046673,200000081384,42
200000046675,200000052032,14
200000046675,200000060881,2
200000046676,200000062810,0
200000046676,200000077160,83
200000046677,200000065487,0
200000046677,200000073974,0
200000046679,200000083657,77
200000046680,200000085771,93
200000046681,200000063567,42
200000046682,200000057952,72
200000046682,200000068210,21
200000046685,200000055618,76
200000046685,200000075666,19
200000046687,200000052308,4
200000046687,200000079893,29
200000046688,200000085484,79
200000046690,200000060821,25
200000046690,200000098011,3
200000046691,200000093261,67
200000046692,200000086736,26
200000046694,200000091248,51
200000046695,200000066049,77
200000046696,200000071294,46
200000046696,200000078073,92
200000046697,200000096826,33
200000046697,200000097820,74
200000046700,200000068753,0
200000046702,200000050851,0
200000046702,200000080726,0
