src_id,dst_id,d_id,src_device_start_time,dst_device_start_time
20000006316,200000015886,40000006980,2019-08-30,2020-02-26
20000006316,200000063662,400000033004,2021-10-30,2022-02-18
20000006316,200000097300,4000000485,2020-02-10,2020-05-19
20000006317,200000022201,4000000128,2022-05-28,2021-10-30
20000006317,200000044473,400000051,2020-06-27,2020-02-26
20000006317,200000073519,40000001,2022-04-22,2020-08-31
20000006317,200000084137,400000030634,2020-09-13,2021-10-22
20000006318,200000043236,4000000342,2021-10-15,2021-10-16
20000006318,200000078263,400000046750,2019-08-06,2022-04-16
20000006318,200000096858,400000077734,2021-02-25,2021-05-07
20000006319,200000030153,400000092,2021-05-09,2019-09-24
20000006319,200000031735,400000062387,2022-04-18,2019-12-01
20000006319,200000061932,400000095,2021-08-21,2019-09-10
20000006319,200000079241,400000038760,2019-08-13,2020-08-12
20000006320,20000008668,400000049946,2021-04-02,2020-04-23
20000006320,200000059522,40000009,2022-06-18,2020-06-27
20000006321,200000022788,40000006,2019-07-30,2022-01-05
20000006321,200000024705,40000009,2020-09-20,2019-10-01
20000006321,200000066112,40000001,2021-05-30,2022-02-17
20000006321,200000078290,400000035687,2021-04-22,2020-09-23
20000006322,200000013413,4000000847,2022-03-15,2021-06-15
20000006322,200000068765,4000000580,2019-12-27,2020-03-07
20000006322,200000075725,40000001,2021-05-10,2021-12-10
20000006322,200000091999,4000000328,2022-04-29,2021-06-09
20000006323,20000008347,400000017,2022-03-04,2022-04-04
20000006323,200000010123,400000021452,2020-06-19,2020-01-22
20000006323,200000069517,400000015287,2020-08-16,2021-05-21
20000006323,200000087402,400000056210,2020-12-11,2022-01-01
20000006324,20000007929,40000001,2020-08-24,2020-03-11
20000006324,200000018905,40000001156,2020-02-29,2020-03-16
20000006324,200000033348,40000009256,2020-02-22,2019-08-24
20000006324,200000055069,40000009430,2021-05-31,2021-05-07
20000006325,200000011411,400000035758,2019-12-18,2020-09-09
20000006325,200000014163,400000039886,2019-09-11,2021-04-22
20000006325,200000077188,400000058077,2021-03-28,2020-04-27
20000006326,20000007410,400000026582,2020-01-01,2020-05-30
20000006326,200000033174,40000001,2019-07-31,2020-03-09
20000006326,200000061170,400000076542,2020-03-15,2022-04-05
20000006327,200000018994,40000001,2020-02-22,2019-09-06
20000006327,200000075054,400000010413,2020-10-09,2021-11-05
20000006327,200000082358,4000000240,2020-02-27,2022-03-11
20000006327,200000098433,40000008,2019-09-14,2020-02-28
20000006328,20000006670,400000086,2020-07-13,2020-03-30
20000006328,200000050757,40000002,2020-09-15,2021-02-04
20000006328,200000085434,400000025048,2022-06-23,2019-09-13
20000006329,20000007144,400000034295,2022-04-19,2021-05-07
20000006329,200000099843,400000048469,2020-06-05,2020-07-09
20000006330,200000013100,40000007877,2020-07-07,2019-08-08
