src_id,dst_id,corp_id,src_work_for_start_time,dst_work_for_start_time
200000029530,200000079880,50000001000,2022-01-27,2020-01-25
200000029531,200000068456,50000003,2019-08-01,2022-03-13
200000029531,200000087877,50000009305,2020-01-04,2021-12-09
200000029532,200000051537,50000001,2022-03-27,2022-06-04
200000029532,200000052939,50000007554,2020-03-11,2020-04-02
200000029532,200000062274,500000050,2020-08-26,2021-11-17
200000029533,200000036884,50000005617,2020-03-03,2019-11-23
200000029534,200000035221,50000003,2020-09-08,2020-05-05
200000029535,200000041741,50000001781,2022-06-13,2019-10-17
200000029535,200000092939,50000001,2020-08-15,2022-05-20
200000029536,200000034743,500000050,2021-02-03,2021-12-19
200000029536,200000052797,50000003136,2020-12-09,2020-06-07
200000029536,200000068932,50000007722,2021-10-24,2020-07-07
200000029537,200000046768,50000001,2019-09-18,2019-12-30
200000029537,200000078911,50000002387,2020-12-23,2020-01-27
200000029538,200000033520,50000008093,2020-10-13,2021-05-14
200000029538,200000088479,5000000691,2022-02-22,2022-02-14
200000029539,200000032190,500000038,2021-09-12,2020-05-22
200000029539,200000078270,5000000205,2022-02-12,2021-10-31
200000029540,200000096257,50000003873,2020-01-10,2020-10-28
200000029540,200000097502,50000003857,2020-12-19,2021-03-18
200000029541,200000039981,50000005650,2020-11-11,2020-01-11
200000029542,200000054207,50000008765,2021-08-29,2019-09-15
200000029544,200000034946,50000004125,2019-08-29,2020-05-30
200000029544,200000051534,50000001,2021-07-25,2021-10-25
200000029546,200000045637,50000001621,2022-02-09,2021-10-04
200000029546,200000067524,50000001095,2020-02-13,2020-12-01
200000029547,200000032642,50000002271,2019-08-18,2020-07-27
200000029547,200000052853,50000009101,2020-11-22,2021-06-16
200000029548,200000035365,50000001970,2022-04-04,2020-12-20
200000029549,200000082006,5000000104,2021-08-19,2022-01-24
200000029550,200000045168,50000009,2020-11-23,2021-12-28
200000029550,200000054967,5000000124,2021-06-12,2022-03-11
200000029550,200000062523,50000003190,2020-05-16,2022-03-15
200000029551,200000035594,5000000494,2019-12-01,2020-05-16
200000029551,200000084384,500000038,2021-03-18,2021-10-11
200000029552,200000041001,5000000548,2022-01-17,2022-01-17
200000029552,200000055806,50000008277,2021-06-26,2022-02-26
200000029553,200000086239,50000005,2021-07-15,2019-10-07
200000029554,200000058245,5000000224,2020-06-28,2019-11-13
200000029554,200000093441,50000001,2020-06-19,2021-05-25
200000029555,200000098028,50000007995,2019-10-03,2022-05-05
200000029556,200000044742,50000005021,2021-03-26,2022-03-15
200000029556,200000095471,50000002881,2020-01-04,2020-08-15
200000029557,200000043040,50000008215,2019-12-19,2021-05-19
200000029557,200000055904,50000002004,2022-02-04,2020-06-08
200000029557,200000075351,50000005,2020-11-09,2020-11-05
200000029558,200000032388,50000001700,2021-06-01,2021-08-03
200000029560,200000062999,50000006470,2019-10-20,2020-01-10
200000029560,200000097858,5000000877,2021-08-29,2022-02-22
200000029561,200000097862,500000071,2022-06-05,2020-02-11
200000029562,200000077858,5000000563,2020-11-02,2019-07-23
200000029562,200000086508,50000001788,2019-12-24,2019-08-10
200000029563,200000051445,50000007346,2020-08-23,2020-02-09
200000029563,200000058013,50000006795,2021-01-07,2019-11-09
200000029565,200000056215,50000007351,2021-11-21,2020-01-09
200000029565,200000063715,50000003523,2020-04-10,2020-10-20
200000029566,200000081188,50000004019,2021-08-13,2021-10-25
200000029566,200000085541,50000001,2022-02-23,2020-08-21
200000029567,200000036609,500000071,2020-12-26,2022-05-10
200000029567,200000053517,500000068,2021-03-26,2019-08-08
200000029568,200000045296,50000002831,2020-10-05,2021-03-08
200000029569,200000042649,50000001,2022-02-19,2020-08-06
200000029569,200000093307,50000003783,2022-01-25,2020-10-13
200000029569,200000094120,500000035,2022-06-05,2022-03-11
200000029570,200000038279,50000002624,2019-07-25,2021-05-16
200000029570,200000057822,50000006040,2021-12-13,2019-12-12
200000029571,200000059867,50000007045,2020-03-20,2021-01-30
200000029571,200000096417,50000007,2020-12-30,2021-03-11
200000029572,200000083338,50000001335,2020-08-30,2021-04-27
200000029573,200000064032,50000001,2019-07-21,2020-11-15
200000029573,200000095160,50000008945,2020-07-08,2021-04-06
200000029573,200000097917,50000008742,2020-04-05,2022-02-09
200000029574,200000070568,50000009466,2021-03-27,2021-04-24
200000029575,200000039446,50000005522,2020-10-27,2021-07-29
200000029575,200000049995,50000005207,2019-12-19,2019-07-07
200000029576,200000031043,50000001,2020-08-18,2020-09-01
200000029577,200000049574,50000004563,2021-01-30,2020-07-02
200000029577,200000072435,50000007490,2021-05-13,2021-08-12
200000029577,200000077751,50000004672,2020-07-17,2021-01-15
200000029578,200000037308,50000006196,2020-02-23,2020-11-04
200000029578,200000041942,50000009233,2019-10-29,2021-08-05
200000029578,200000074010,50000006310,2021-11-05,2021-08-24
200000029579,200000080640,50000004473,2020-12-27,2020-06-04
200000029579,200000092277,5000000744,2021-04-15,2022-03-02
200000029580,200000034606,5000000526,2021-10-18,2021-12-06
200000029580,200000042357,50000001,2019-07-01,2022-05-31
200000029581,200000040107,500000010,2019-12-25,2022-03-05
200000029581,200000055270,5000000504,2020-12-03,2019-07-24
200000029581,200000069319,50000003473,2020-11-16,2020-07-07
200000029583,200000056306,50000004799,2022-06-11,2019-11-16
200000029583,200000087836,500000096,2021-12-07,2021-02-08
200000029584,200000091234,50000008799,2019-11-17,2020-11-06
200000029585,200000061046,50000003234,2022-01-24,2020-07-24
200000029586,200000041053,500000076,2021-01-02,2021-09-30
200000029587,200000034384,50000003213,2020-12-22,2020-11-25
200000029587,200000052659,50000001548,2019-07-25,2021-10-23
200000029588,200000058268,50000002,2021-07-06,2019-11-20
200000029588,200000096523,50000003677,2020-05-18,2020-06-15
200000029588,200000098831,50000002484,2022-06-01,2021-03-24
200000029589,200000050627,50000006927,2020-05-24,2021-08-09
200000029589,200000090069,50000007818,2020-09-18,2021-11-05
200000029590,200000042234,50000001,2021-09-13,2020-02-04
200000029590,200000065391,50000008182,2021-12-21,2021-08-09
200000029591,200000049456,50000002579,2022-01-21,2019-11-19
200000029591,200000088882,50000006413,2021-09-12,2020-08-31
200000029592,200000041721,5000000871,2022-03-03,2020-04-09
200000029592,200000054777,50000009029,2021-01-01,2021-12-23
200000029593,200000062506,50000008777,2021-07-29,2021-10-30
200000029593,200000072074,50000007078,2021-05-21,2020-11-06
200000029593,200000098174,50000004320,2021-09-21,2020-05-21
200000029594,200000034956,50000002616,2021-05-12,2019-09-16
200000029594,200000065924,50000001,2019-12-01,2021-09-09
200000029595,200000037262,50000001,2020-02-21,2021-04-14
200000029595,200000040389,50000008797,2022-04-27,2022-05-04
200000029596,200000042656,50000009,2022-06-04,2020-02-05
200000029596,200000046540,500000092,2020-09-10,2022-05-16
200000029597,200000032359,500000010,2022-01-16,2020-09-21
200000029597,200000061660,5000000786,2022-06-26,2020-09-20
200000029598,200000035627,50000008,2020-01-10,2022-04-11
200000029598,200000060262,50000001,2020-12-16,2020-08-26
200000029599,200000030775,50000001,2021-04-07,2020-12-12
200000029599,200000054218,50000008,2020-09-21,2021-02-03
200000029599,200000089900,50000005290,2021-02-28,2021-04-14
200000029600,200000037265,50000001629,2020-04-10,2020-04-20
200000029600,200000047531,50000005,2022-02-21,2021-11-27
200000029601,200000075874,5000000689,2022-01-29,2019-08-06
200000029601,200000090092,50000004,2019-10-23,2020-11-17
200000029602,200000063593,50000001,2019-09-06,2019-11-16
200000029602,200000086670,50000008286,2021-03-30,2021-12-16
200000029603,200000071441,50000001823,2021-08-26,2020-02-18
200000029604,200000092265,50000009,2019-11-17,2021-09-18
200000029604,200000099520,50000004644,2021-01-22,2019-11-23
200000029605,200000032245,50000002651,2021-08-28,2020-10-06
200000029605,200000064061,50000001,2021-04-20,2021-08-24
200000029606,200000047248,50000004391,2020-04-15,2022-04-03
200000029606,200000053093,50000003933,2021-11-29,2021-02-28
200000029607,200000053902,50000001,2019-08-13,2021-02-16
200000029607,200000077983,50000008681,2021-02-14,2020-05-04
200000029609,200000039150,50000008016,2020-06-28,2019-10-20
200000029610,200000066017,500000010,2020-09-05,2021-07-19
200000029611,200000036128,5000000208,2021-01-24,2020-06-26
200000029611,200000085437,50000001228,2021-08-04,2022-03-21
200000029612,200000041268,5000000199,2021-05-18,2020-08-21
200000029613,200000091740,50000004724,2020-06-12,2020-05-23
200000029614,200000079120,50000005584,2020-01-12,2019-08-10
200000029614,200000099493,5000000716,2021-03-07,2021-02-13
200000029615,200000040358,50000005944,2021-05-28,2021-03-31
200000029615,200000062854,5000000844,2019-12-23,2019-10-22
200000029615,200000096678,50000003233,2020-09-15,2020-10-06
200000029616,200000049772,50000007502,2021-11-10,2021-04-13
200000029618,200000033814,50000005100,2021-12-24,2022-04-05
200000029618,200000086621,50000004,2021-04-26,2022-02-06
200000029619,200000031415,50000001,2020-09-12,2021-08-31
200000029619,200000038222,5000000279,2021-12-02,2020-03-19
200000029619,200000050618,50000009034,2021-09-02,2019-12-25
200000029620,200000033015,50000003802,2019-08-04,2021-02-05
200000029620,200000044444,50000004301,2020-02-21,2021-01-14
200000029621,200000029639,5000000716,2022-01-25,2021-12-10
200000029622,200000094416,50000002042,2022-06-20,2021-01-17
200000029622,200000096617,50000004668,2021-10-09,2020-01-03
200000029624,200000034019,50000001,2020-06-19,2020-04-23
200000029624,200000035272,50000007578,2022-06-13,2021-09-06
200000029624,200000035732,50000007,2019-12-29,2019-11-15
200000029625,200000078075,50000006,2020-05-13,2021-07-01
200000029626,200000072105,5000000487,2020-03-21,2020-04-10
200000029627,200000060593,50000008666,2021-11-15,2019-12-13
200000029627,200000091261,50000002735,2021-07-16,2020-07-19
200000029628,200000053054,5000000163,2021-01-24,2021-04-11
200000029628,200000081110,5000000772,2021-11-19,2020-01-18
200000029629,200000045632,50000002968,2021-08-13,2022-04-18
200000029629,200000071939,500000052,2019-08-25,2021-08-13
200000029630,200000033407,5000000929,2020-07-21,2021-01-12
200000029630,200000062146,50000008554,2020-07-13,2021-06-17
200000029630,200000086895,500000010,2022-06-02,2021-02-27
200000029631,200000059322,50000001,2020-09-28,2020-02-25
200000029631,200000095781,50000005785,2022-06-27,2022-06-27
200000029632,200000044947,5000000244,2022-06-01,2021-03-06
200000029632,200000084837,500000010,2019-08-25,2021-01-01
200000029633,200000036587,50000004954,2020-03-11,2019-11-02
200000029633,200000059296,50000008271,2020-10-29,2019-10-25
200000029633,200000069077,50000007676,2021-07-31,2022-06-26
200000029634,200000070224,5000000216,2020-07-22,2021-08-04
200000029634,200000093773,50000007,2021-03-04,2021-12-08
200000029635,200000067067,50000001,2022-05-16,2021-09-16
200000029635,200000082919,50000004249,2019-12-08,2021-03-23
200000029636,200000053510,50000003933,2020-03-01,2021-12-14
200000029637,200000078228,5000000900,2019-09-11,2020-07-17
200000029637,200000094525,50000008,2019-10-03,2022-05-04
200000029638,200000050900,5000000864,2021-09-05,2020-11-12
200000029639,200000029879,500000015,2020-09-14,2021-01-11
200000029640,200000066549,50000001,2020-05-10,2020-03-31
200000029640,200000077779,50000001,2020-08-12,2020-06-23
200000029641,200000090635,50000001897,2022-03-31,2021-09-20
200000029642,200000031551,50000001,2022-02-18,2021-04-25
200000029642,200000035550,500000068,2019-07-24,2019-08-07
200000029643,200000029729,50000008,2019-09-01,2022-05-22
200000029643,200000032975,50000006778,2020-11-26,2020-04-15
200000029644,200000041640,5000000338,2021-02-25,2019-07-09
200000029644,200000064078,50000001,2020-03-07,2020-09-18
200000029645,200000042255,50000005210,2022-04-02,2021-11-10
200000029645,200000092392,50000006624,2019-10-12,2022-06-24
200000029645,200000096136,50000009108,2019-07-22,2019-10-15
200000029646,200000035700,5000000961,2022-06-21,2020-10-31
200000029646,200000060395,50000009234,2020-06-08,2019-11-04
200000029647,200000046144,50000002561,2021-06-06,2021-07-26
200000029647,200000072624,50000006865,2020-04-28,2020-12-10
200000029648,200000098190,50000005,2022-03-28,2020-04-24
200000029649,200000049825,50000006,2022-01-27,2021-12-10
200000029649,200000068186,50000008101,2022-04-23,2019-12-10
200000029649,200000069185,500000010,2021-12-04,2021-01-18
200000029650,200000069378,50000009,2020-07-24,2020-10-07
200000029650,200000099881,500000044,2021-05-11,2021-12-13
200000029651,200000064114,50000004807,2020-06-13,2022-03-02
200000029651,200000092686,5000000353,2021-04-03,2021-12-03
200000029652,200000086510,50000008322,2021-05-20,2021-04-16
200000029652,200000087455,50000001,2020-11-16,2020-06-15
200000029653,200000050409,50000001,2020-12-15,2021-06-26
200000029653,200000078947,50000001303,2021-12-03,2020-12-17
200000029654,200000089525,50000002,2021-09-10,2020-04-26
200000029655,200000045073,50000007,2020-12-06,2021-05-08
200000029655,200000093337,50000002948,2019-12-22,2021-11-19
200000029655,200000094796,50000001753,2021-10-14,2021-08-31
200000029656,200000070323,500000090,2020-04-05,2022-06-28
200000029657,200000033544,500000095,2022-06-24,2021-06-24
200000029657,200000084346,50000001436,2021-05-19,2022-05-25
200000029658,200000085477,5000000314,2021-05-16,2021-04-09
200000029659,200000093128,50000005,2021-03-03,2020-12-26
200000029659,200000099299,50000007060,2019-08-24,2021-09-12
200000029660,200000029997,50000003,2022-04-06,2022-02-22
200000029660,200000086427,50000003648,2022-03-14,2019-10-22
200000029661,200000031708,50000006412,2022-06-28,2021-04-11
200000029661,200000067788,50000002,2021-06-20,2019-11-10
200000029661,200000070042,50000007266,2020-08-17,2020-04-21
200000029662,200000033748,50000005053,2020-11-28,2019-12-12
200000029663,200000090708,50000008212,2019-10-02,2022-06-06
200000029664,200000087545,50000008100,2021-05-19,2019-09-28
200000029665,200000055660,50000009412,2020-10-17,2020-08-31
200000029665,200000063340,50000009127,2021-02-19,2020-09-10
200000029666,200000062493,50000002547,2021-03-25,2019-07-27
200000029667,200000033884,500000037,2020-04-20,2019-07-20
200000029668,200000039072,5000000337,2021-08-22,2022-03-29
200000029668,200000050788,50000008402,2021-11-03,2021-11-12
200000029668,200000094842,5000000681,2021-07-11,2020-06-04
200000029669,200000078747,50000001420,2019-12-20,2020-11-04
200000029670,200000037228,50000009,2022-05-28,2020-01-09
200000029670,200000066071,50000001,2021-02-23,2020-02-21
200000029671,200000089003,50000007,2021-09-03,2022-04-02
200000029672,200000037504,50000005428,2020-02-24,2022-03-12
200000029672,200000092872,50000008,2020-04-14,2021-12-12
200000029672,200000095520,5000000295,2020-04-27,2021-01-06
200000029673,200000059904,50000009225,2021-11-10,2020-06-23
200000029673,200000071106,5000000825,2021-09-03,2019-12-20
200000029674,200000083601,50000005778,2020-01-19,2020-05-06
200000029675,200000046601,50000001,2020-12-13,2020-01-24
200000029676,200000033383,5000000598,2020-07-27,2021-04-13
200000029676,200000077032,50000001,2020-12-19,2021-02-03
200000029677,200000056040,50000005821,2020-05-21,2019-10-16
200000029677,200000072231,5000000214,2022-04-25,2021-09-12
200000029678,200000036226,50000002762,2022-06-12,2020-12-18
200000029678,200000044737,50000008346,2022-02-08,2020-08-01
200000029679,200000057588,50000007547,2020-03-09,2022-04-06
200000029679,200000062114,50000007,2020-07-06,2020-05-29
200000029679,200000082255,50000002862,2019-12-03,2020-04-25
200000029680,200000076893,50000001,2021-05-07,2021-06-24
200000029680,200000086258,5000000442,2019-09-15,2020-03-30
200000029681,200000032111,500000060,2022-02-06,2021-05-28
200000029681,200000033736,50000008383,2021-06-10,2021-01-30
200000029681,200000096823,500000043,2020-09-10,2021-09-15
200000029682,200000031400,50000001909,2020-04-05,2021-08-03
200000029682,200000053950,50000006556,2020-02-18,2021-10-07
200000029683,200000051855,50000004194,2021-10-30,2019-10-13
200000029683,200000089696,50000002656,2022-01-20,2021-01-09
200000029684,200000030762,50000008632,2020-03-05,2021-10-04
200000029684,200000050739,50000005,2021-06-07,2020-08-30
200000029685,200000032762,500000094,2022-05-26,2022-01-18
200000029685,200000044761,50000004885,2021-02-15,2022-02-16
200000029685,200000082271,50000001634,2020-12-25,2020-01-16
200000029686,200000070166,50000009466,2020-06-07,2020-11-09
200000029686,200000099463,50000001,2021-09-06,2020-02-27
200000029687,200000033502,50000001,2020-03-20,2021-09-30
200000029688,200000094085,50000004335,2021-01-30,2021-07-20
200000029689,200000035110,5000000946,2020-01-25,2019-11-13
200000029689,200000089250,5000000726,2021-07-11,2020-04-27
200000029690,200000070066,50000007944,2020-03-14,2020-10-12
200000029692,200000068782,50000002726,2019-12-22,2021-04-09
200000029692,200000083993,50000001969,2021-08-24,2021-04-05
200000029693,200000052187,50000004640,2020-04-30,2021-07-23
200000029693,200000053103,50000007255,2019-09-22,2019-08-10
200000029693,200000086912,50000008528,2020-05-06,2021-06-07
200000029694,200000040074,50000002646,2020-07-21,2020-05-26
200000029695,200000054665,50000008432,2019-07-05,2021-11-16
200000029695,200000097188,50000002564,2021-03-15,2021-05-02
200000029696,200000045910,50000001,2019-07-21,2020-05-05
200000029698,200000039531,50000002928,2020-01-18,2020-04-23
200000029698,200000072121,50000006609,2019-09-22,2021-05-05
200000029700,200000032754,5000000946,2021-07-16,2020-05-21
200000029701,200000078758,50000008285,2022-02-12,2019-08-05
200000029702,200000047836,50000001450,2022-04-12,2022-05-06
200000029702,200000089432,50000006420,2022-01-16,2019-09-18
200000029702,200000095208,500000010,2021-07-06,2021-06-19
200000029703,200000032202,50000008597,2020-10-22,2021-12-15
200000029703,200000050375,50000003,2021-06-27,2020-02-15
200000029704,200000037317,50000001064,2022-06-09,2020-11-27
200000029705,200000053721,50000006820,2020-09-28,2020-05-13
200000029705,200000095162,50000001,2019-06-30,2021-09-06
200000029705,200000096598,50000003074,2019-12-28,2020-03-30
200000029706,200000062438,50000001393,2021-10-06,2020-05-31
200000029706,200000083379,500000039,2020-10-23,2021-01-07
200000029707,200000079832,50000006340,2020-08-18,2022-02-20
200000029707,200000091039,50000006933,2020-05-07,2020-09-01
200000029708,200000031706,50000008763,2020-10-05,2021-10-04
200000029709,200000077667,50000008545,2022-02-19,2021-12-16
200000029709,200000098716,50000008267,2021-03-08,2021-07-27
200000029710,200000034122,50000008469,2021-08-08,2021-09-19
200000029710,200000081908,5000000214,2020-02-17,2020-09-16
200000029711,200000097089,50000008,2020-04-25,2020-10-26
