src_id,dst_id,corp_id,pn_id,src_work_for_start_time
200000040332,200000042557,5000000952,100000051776,2020-12-22
200000040332,200000095456,50000001,100000041457,2021-09-03
200000040333,200000074894,5000000254,1000000569,2020-01-03
200000040337,200000084227,50000001,10000006,2021-02-08
200000040337,200000097306,50000001,100000054645,2019-08-27
200000040338,200000065413,5000000942,100000037973,2022-01-28
200000040340,200000064352,50000001472,100000062884,2022-05-12
200000040341,200000063871,50000003123,100000074752,2021-05-22
200000040342,200000083683,50000002,10000004073,2020-02-07
200000040343,200000079378,5000000256,100000085,2020-05-08
200000040345,200000057081,50000008,100000041,2022-03-06
200000040346,200000092555,50000002,100000026015,2022-03-05
200000040346,200000099536,50000006933,10000005,2020-06-24
200000040347,200000042319,50000001,10000001,2021-04-28
200000040348,200000068887,50000003702,100000023042,2022-02-28
200000040349,200000088819,50000002279,100000066331,2020-11-17
200000040350,200000085954,50000008,10000001,2019-09-14
200000040350,200000097006,50000001494,100000026526,2021-11-09
200000040352,200000099419,50000006416,10000001,2020-11-26
200000040354,200000077437,50000005890,10000005279,2019-10-26
200000040355,200000092426,5000000313,100000057903,2022-03-24
200000040356,200000078114,50000006825,10000003179,2020-12-22
200000040359,200000088268,50000006170,100000053431,2020-12-17
200000040361,200000077769,50000006961,1000000509,2022-04-14
200000040363,200000092148,50000004221,100000044023,2022-04-11
200000040363,200000095387,50000004199,1000000834,2020-02-29
200000040364,200000045658,5000000123,10000003,2021-12-23
200000040364,200000054330,50000009217,100000018750,2021-06-14
200000040370,200000063174,50000003656,100000029809,2020-09-26
200000040370,200000074174,50000003686,100000085787,2021-04-14
200000040372,200000042149,500000072,1000000641,2020-07-21
200000040373,200000042594,500000020,100000017132,2022-05-18
200000040373,200000069371,50000009064,100000041921,2021-08-08
200000040374,200000049851,50000005,100000067,2019-10-31
200000040374,200000065986,5000000195,100000010,2020-02-29
200000040375,200000041745,50000005673,100000010,2022-02-25
200000040376,200000040757,50000008458,10000007,2021-02-13
200000040377,200000091803,50000007104,100000079510,2021-04-11
200000040378,200000042210,50000004317,100000021170,2020-04-09
200000040378,200000056702,50000007,100000047979,2020-05-16
200000040380,200000098343,50000004447,100000067041,2021-10-02
200000040381,200000044046,50000006407,100000036863,2020-12-01
200000040381,200000095578,50000002323,10000006845,2019-09-01
200000040383,200000076336,50000005,100000077779,2019-11-04
200000040385,200000071049,50000002987,10000007158,2020-07-26
200000040385,200000078056,5000000229,1000000895,2021-12-17
200000040387,200000047678,5000000892,100000094,2022-06-27
200000040387,200000085201,50000001302,10000001,2022-05-06
200000040388,200000067922,50000002484,100000026520,2020-10-30
200000040390,200000058520,500000073,10000005819,2020-06-11
200000040391,200000047843,50000006464,10000001324,2021-05-05
200000040392,200000090385,500000059,100000062995,2021-11-06
200000040394,200000041697,50000001,100000013895,2021-12-05
200000040395,200000092926,50000006153,100000058488,2020-12-15
200000040398,200000088911,500000084,100000074485,2020-06-30
200000040399,200000064935,50000003,100000020502,2022-06-14
200000040399,200000067198,50000003744,100000067085,2022-06-06
200000040400,200000050731,50000003,100000014821,2021-08-28
