corp_id,corp_name,corp_address,is_risky,risk_profile
co_1,万迅电脑信息有限公司,河南省敏市南溪昆明街S座\ 744416,False,NA
co_2,济南亿次元传媒有限公司,甘肃省秀兰市沙湾汕尾街N座\ 197901,False,NA
co_3,毕博诚科技有限公司,河南省秀梅县东丽陈街Y座\ 913694,False,NA
co_4,迪摩科技有限公司,青海省玉珍市朝阳广州街o座\ 477178,False,NA
co_5,中建创业传媒有限公司,北京市璐市普陀天津路n座\ 697761,False,NA
co_6,雨林木风计算机科技有限公司,浙江省静县兴山六安街Z座\ 413676,False,NA
co_7,飞海科技传媒有限公司,台湾省杭州县吉区郑州街r座\ 603207,False,NA
co_8,双敏电子信息有限公司,青海省东市西峰王街a座\ 787635,False,NA
co_9,巨奥信息有限公司,山东省娟县永川李路M座\ 873370,False,NA
co_10,数字100传媒有限公司,山东省龙县沙市高路g座\ 431893,False,NA
co_11,佳禾科技有限公司,河南省明县永川南昌路C座\ 796083,False,NA
co_12,新宇龙信息信息有限公司,浙江省乌鲁木齐市秀英杭州街D座\ 389472,False,NA
co_13,联通时科传媒有限公司,河南省宜都县沙湾唐街X座\ 373613,False,NA
co_14,商软冠联科技有限公司,新疆维吾尔自治区秀梅市上街赵路s座\ 825058,False,NA
co_15,富罳网络有限公司,澳门特别行政区玉英市普陀北京路D座\ 173473,False,NA
co_16,南康传媒有限公司,江西省桂香市龙潭陈路c座\ 508653,False,NA
co_17,银嘉传媒有限公司,四川省丽华市萧山李路x座\ 407394,False,NA
co_18,飞利信传媒有限公司,黑龙江省广州市金平欧路V座\ 910648,False,NA
co_19,巨奥信息有限公司,重庆市帅县清河辛集街Q座\ 885869,False,NA
co_20,东方峻景信息有限公司,湖北省澳门市南湖贵阳街h座\ 532624,False,NA
co_21,华远软件信息有限公司,辽宁省峰县闵行台北街y座\ 953484,False,NA
co_22,良诺科技有限公司,海南省嘉禾市魏都朱街r座\ 326894,False,NA
co_23,兰金电子科技有限公司,广东省杰县华龙关岭街f座\ 697909,False,NA
co_24,网新恒天科技有限公司,陕西省郑州市南湖武汉街J座\ 666265,False,NA
co_25,凌云网络有限公司,重庆市淮安市清城成都路V座\ 525710,False,NA
co_26,创汇科技有限公司,甘肃省通辽县南湖北京路J座\ 108126,False,NA
co_27,趋势科技有限公司,天津市英市萧山永安路D座\ 269661,False,NA
co_28,昂歌信息科技有限公司,甘肃省斌县清浦娄街i座\ 385387,False,NA
co_29,立信电子科技有限公司,吉林省杭州县南湖兴安盟路c座\ 859954,False,NA
co_30,快讯信息有限公司,广东省浩县高港黄街e座\ 477198,False,NA
co_31,华泰通安网络有限公司,西藏自治区杨市南长广州路L座\ 914337,False,NA
