person_id,contact_id,level
p_46617,p_95395,6
p_46619,p_75593,54
p_46619,p_89341,19
p_46620,p_76157,92
p_46621,p_85655,87
p_46621,p_85707,57
p_46622,p_49263,0
p_46623,p_70385,10
p_46623,p_90498,54
p_46624,p_76303,18
p_46624,p_87256,46
p_46625,p_81043,36
p_46625,p_83584,77
p_46626,p_47267,16
p_46627,p_68787,0
p_46627,p_87342,0
p_46628,p_76543,63
p_46628,p_77656,7
p_46629,p_61475,49
p_46629,p_84571,10
p_46630,p_89017,77
p_46631,p_72705,52
p_46633,p_54721,43
p_46635,p_87646,40
p_46636,p_47671,5
p_46637,p_49525,12
p_46637,p_73318,6
p_46639,p_94727,40
p_46640,p_92875,18
p_46642,p_58264,0
p_46643,p_54493,20
p_46643,p_87869,11
p_46644,p_55384,23
p_46644,p_71649,36
p_46645,p_47506,63
p_46645,p_85066,58
p_46646,p_55521,9
p_46646,p_57931,97
p_46647,p_47508,6
p_46648,p_65193,11
p_46649,p_65780,17
p_46649,p_79204,90
p_46650,p_93634,96
p_46651,p_67415,1
p_46652,p_54079,8
p_46652,p_91172,71
p_46653,p_65606,35
p_46653,p_88722,9
p_46654,p_69392,62
p_46655,p_93454,29
p_46657,p_52092,75
p_46657,p_89446,80
p_46659,p_82520,45
p_46659,p_96832,56
p_46660,p_57706,30
p_46661,p_74371,77
p_46663,p_77953,44
p_46663,p_83789,87
p_46664,p_89827,0
p_46665,p_59402,91
p_46665,p_89386,94
p_46666,p_84966,8
p_46668,p_97226,70
p_46669,p_97170,15
p_46670,p_50024,82
p_46671,p_46923,0
p_46672,p_92256,81
p_46672,p_92382,3
p_46673,p_63625,0
p_46673,p_81384,16
p_46675,p_52032,0
p_46675,p_60881,65
p_46676,p_62810,58
p_46676,p_77160,8
p_46677,p_65487,78
p_46677,p_73974,27
p_46679,p_83657,33
p_46680,p_85771,55
p_46681,p_63567,17
p_46682,p_57952,86
p_46682,p_68210,43
p_46685,p_55618,11
p_46685,p_75666,66
p_46687,p_52308,5
p_46687,p_79893,23
p_46688,p_85484,0
p_46690,p_60821,54
p_46690,p_98011,9
p_46691,p_93261,32
p_46692,p_86736,29
p_46694,p_91248,13
p_46695,p_66049,15
p_46696,p_71294,46
p_46696,p_78073,66
p_46697,p_96826,88
p_46697,p_97820,1
p_46700,p_68753,0
p_46702,p_50851,78
p_46702,p_80726,30
p_46703,p_60734,62
p_46703,p_76294,47
p_46704,p_48140,83
p_46704,p_74565,68
p_46706,p_73650,4
p_46707,p_64410,0
p_46707,p_86617,24
p_46708,p_53503,67
p_46708,p_98590,53
p_46709,p_61927,60
p_46710,p_46967,12
p_46711,p_97203,44
p_46712,p_49561,38
p_46712,p_60369,43
p_46713,p_77278,42
p_46713,p_83863,27
p_46714,p_57995,64
p_46714,p_89815,6
p_46716,p_55668,8
p_46717,p_84615,99
p_46717,p_87547,18
p_46719,p_54759,62
p_46719,p_84432,42
p_46720,p_83948,71
p_46720,p_90044,3
p_46722,p_53346,0
p_46723,p_53957,89
p_46723,p_97665,89
p_46724,p_63381,12
p_46724,p_65996,97
p_46725,p_68560,0
p_46726,p_65776,21
p_46727,p_68730,12
p_46728,p_73478,75
p_46729,p_76779,58
p_46729,p_91617,79
p_46730,p_80189,5
p_46730,p_87929,49
p_46732,p_70222,98
p_46733,p_57724,4
p_46733,p_85857,15
p_46734,p_58037,86
p_46734,p_87516,13
p_46735,p_90998,26
p_46735,p_94749,77
p_46737,p_63591,0
p_46739,p_75660,15
p_46741,p_75926,31
p_46741,p_76809,91
p_46742,p_56795,46
p_46742,p_68439,39
p_46743,p_48662,18
p_46745,p_46824,10
p_46745,p_79016,34
p_46746,p_99458,14
p_46747,p_55589,16
p_46748,p_69761,56
p_46750,p_89139,0
p_46751,p_97154,86
p_46752,p_55561,30
p_46752,p_57383,14
p_46753,p_49091,8
