src_id,dst_id,d_id,src_device_start_time,dst_device_start_time
p_4981,p_67711,dev_8,2019-07-05,2019-08-16
p_4982,p_10249,dev_1937,2019-12-10,2021-06-08
p_4982,p_13859,dev_1673,2020-01-27,2021-05-16
p_4982,p_43037,dev_64,2020-04-02,2020-04-17
p_4982,p_81018,dev_2061,2021-03-04,2022-02-11
p_4983,p_13459,dev_1,2021-01-22,2021-07-22
p_4983,p_47495,dev_859,2019-10-15,2021-02-18
p_4983,p_66871,dev_2611,2022-01-11,2020-03-25
p_4983,p_72729,dev_2650,2021-08-29,2022-04-19
p_4983,p_78869,dev_3,2021-03-28,2020-06-11
p_4984,p_6877,dev_2227,2019-07-06,2019-10-13
p_4984,p_24178,dev_2132,2019-09-21,2019-12-13
p_4984,p_24336,dev_1137,2019-08-11,2022-05-15
p_4984,p_88865,dev_1131,2021-03-09,2019-12-21
p_4984,p_96494,dev_81,2020-01-05,2020-02-23
p_4985,p_30236,dev_2,2021-03-19,2020-08-31
p_4985,p_38319,dev_1716,2021-12-02,2021-12-15
p_4985,p_77506,dev_10,2019-08-16,2020-03-07
p_4986,p_25534,dev_17,2020-05-26,2020-09-17
p_4986,p_27482,dev_1,2021-01-01,2020-08-23
p_4986,p_33363,dev_78,2019-09-01,2021-02-14
p_4986,p_41049,dev_1,2022-01-29,2020-03-04
p_4986,p_88075,dev_43,2019-07-26,2021-02-13
p_4987,p_49261,dev_396,2019-08-26,2019-07-01
p_4987,p_54523,dev_127,2020-08-03,2020-12-06
p_4987,p_91764,dev_1,2022-01-07,2021-08-01
p_4987,p_99647,dev_2718,2019-08-09,2020-10-16
p_4988,p_6853,dev_1,2021-12-07,2021-01-29
p_4988,p_7148,dev_1864,2020-06-26,2019-08-30
p_4988,p_14849,dev_28,2020-09-01,2021-08-03
p_4988,p_16303,dev_2491,2019-11-28,2020-08-30
p_4988,p_58145,dev_1087,2020-12-27,2020-03-09
p_4989,p_6304,dev_2938,2021-07-06,2020-11-07
p_4989,p_6644,dev_2949,2021-11-08,2019-10-10
p_4989,p_15667,dev_1346,2019-05-26,2020-02-04
p_4989,p_39299,dev_1430,2020-05-17,2021-01-17
p_4990,p_32772,dev_272,2020-11-26,2019-09-19
p_4990,p_67950,dev_1,2020-06-11,2020-05-04
p_4990,p_86259,dev_1,2022-03-25,2020-09-22
p_4990,p_90746,dev_395,2022-03-08,2020-04-18
p_4990,p_96595,dev_1741,2021-07-13,2021-02-26
p_4991,p_23691,dev_2094,2019-06-07,2021-04-16
p_4991,p_61201,dev_1204,2021-03-26,2021-04-19
p_4991,p_65698,dev_4,2021-11-18,2019-09-18
p_4991,p_77543,dev_735,2022-04-26,2019-10-12
p_4992,p_10885,dev_1594,2019-10-17,2021-09-09
p_4992,p_13913,dev_622,2019-10-09,2020-09-18
p_4992,p_28859,dev_1897,2021-02-18,2020-06-04
p_4992,p_45772,dev_8,2022-05-08,2021-01-19
p_4992,p_99289,dev_2585,2019-10-04,2020-06-24
p_4993,p_6860,dev_1116,2021-12-09,2020-07-04
p_4993,p_44581,dev_1618,2022-04-10,2021-04-19
p_4993,p_50888,dev_352,2020-06-04,2021-05-09
p_4993,p_54139,dev_1515,2020-04-23,2022-05-10
p_4994,p_28320,dev_1634,2020-09-30,2019-10-15
p_4994,p_28648,dev_975,2020-05-08,2020-12-02
p_4994,p_34114,dev_2133,2019-07-29,2021-11-17
p_4994,p_68001,dev_1976,2020-10-24,2021-11-05
p_4994,p_79272,dev_1915,2021-01-24,2019-08-18
p_4995,p_15604,dev_1478,2022-01-18,2021-04-27
p_4995,p_16670,dev_35,2020-01-18,2019-12-15
p_4995,p_49170,dev_897,2019-10-11,2019-12-20
p_4995,p_56959,dev_70,2020-09-17,2019-10-15
p_4995,p_71316,dev_2814,2020-02-24,2019-07-05
p_4996,p_6835,dev_1973,2022-05-15,2022-03-29
p_4996,p_19746,dev_957,2019-10-13,2020-08-02
p_4996,p_23269,dev_1749,2021-12-31,2020-04-17
p_4996,p_52565,dev_1,2019-09-19,2021-09-09
p_4997,p_15986,dev_564,2019-09-18,2021-03-09
p_4997,p_27153,dev_1099,2022-02-09,2020-03-04
p_4997,p_53386,dev_1431,2019-12-10,2022-02-15
p_4998,p_12510,dev_43,2019-12-01,2020-12-09
p_4998,p_16854,dev_1,2020-12-30,2019-09-25
p_4998,p_49568,dev_8,2021-09-27,2019-11-07
p_4998,p_90054,dev_756,2021-07-26,2021-09-27
p_4999,p_6868,dev_8,2021-04-24,2022-03-31
p_4999,p_21069,dev_1400,2020-08-05,2019-07-11
p_4999,p_42418,dev_865,2020-01-25,2021-06-09
p_4999,p_72827,dev_9,2021-06-07,2022-05-10
p_4999,p_76426,dev_272,2019-12-01,2022-02-17
p_5000,p_29497,dev_1289,2020-08-23,2022-01-13
p_5000,p_76126,dev_1647,2020-04-02,2021-03-05
p_5000,p_82182,dev_330,2020-11-11,2022-01-16
p_5000,p_92905,dev_1,2020-09-03,2020-02-19
p_5000,p_96861,dev_2743,2019-07-14,2022-02-19
p_5001,p_6425,dev_2377,2019-07-10,2021-11-09
p_5001,p_14136,dev_1017,2021-01-30,2020-02-25
p_5001,p_18582,dev_2655,2021-07-28,2021-07-28
p_5001,p_48531,dev_1388,2019-10-28,2019-08-22
p_5002,p_21680,dev_412,2020-06-07,2019-08-29
p_5002,p_22686,dev_2334,2021-03-20,2020-12-21
p_5002,p_33322,dev_517,2021-09-15,2021-01-20
p_5002,p_50071,dev_5,2021-05-16,2021-04-06
p_5002,p_68746,dev_95,2021-05-28,2019-08-20
p_5003,p_13918,dev_1909,2021-05-10,2022-01-02
p_5003,p_55815,dev_1,2020-08-25,2021-11-09
p_5003,p_80953,dev_1,2022-04-04,2021-02-18
p_5003,p_96259,dev_1874,2021-05-08,2020-07-03
p_5004,p_13846,dev_750,2019-06-12,2020-10-23
p_5004,p_25158,dev_1,2021-10-21,2021-08-07
p_5004,p_73888,dev_854,2020-02-21,2021-05-04
p_5004,p_90426,dev_1,2019-09-03,2021-09-19
p_5004,p_95313,dev_2990,2020-04-01,2021-10-13
p_5005,p_14194,dev_21,2021-04-28,2019-12-20
p_5005,p_21118,dev_6,2021-09-08,2019-07-24
p_5005,p_75050,dev_1839,2020-11-16,2020-04-28
p_5005,p_84649,dev_350,2019-06-03,2021-03-17
p_5005,p_98600,dev_2476,2020-06-17,2019-07-11
p_5006,p_7658,dev_943,2020-07-06,2020-11-10
p_5006,p_14069,dev_1065,2021-06-25,2021-12-20
p_5006,p_22041,dev_245,2019-12-21,2019-08-31
p_5006,p_54593,dev_7,2019-06-02,2019-06-24
p_5007,p_7589,dev_1466,2019-11-03,2020-01-10
p_5007,p_51921,dev_378,2020-06-22,2021-07-25
p_5007,p_83562,dev_2970,2022-01-26,2020-08-18
p_5007,p_97996,dev_292,2020-12-25,2021-10-10
p_5008,p_5388,dev_2608,2020-02-29,2019-09-13
p_5008,p_50502,dev_2700,2021-02-02,2021-07-29
p_5008,p_62053,dev_2189,2021-08-20,2021-08-30
p_5008,p_70353,dev_113,2019-06-25,2020-04-13
p_5008,p_92549,dev_523,2022-02-03,2021-02-26
p_5009,p_17518,dev_646,2019-09-08,2022-04-08
p_5009,p_26855,dev_979,2020-04-11,2020-09-11
p_5009,p_33912,dev_2933,2019-07-03,2020-11-17
p_5009,p_99682,dev_5,2019-06-03,2020-09-23
p_5010,p_7188,dev_1736,2021-04-23,2020-08-31
p_5010,p_20341,dev_1,2021-07-30,2022-03-21
p_5010,p_37217,dev_572,2021-10-05,2020-12-31
p_5010,p_46933,dev_499,2020-11-16,2021-05-11
p_5010,p_54546,dev_302,2022-01-13,2020-03-28
p_5011,p_21622,dev_1,2019-11-27,2019-06-19
p_5011,p_43103,dev_815,2020-05-13,2020-07-20
p_5011,p_46024,dev_1446,2020-01-03,2022-05-19
p_5011,p_49842,dev_1072,2022-02-10,2021-07-10
p_5011,p_94367,dev_765,2020-07-01,2019-06-12
p_5012,p_16066,dev_315,2022-01-12,2020-02-25
p_5012,p_19669,dev_1156,2019-10-07,2021-04-24
p_5012,p_29070,dev_1186,2021-04-19,2019-10-20
p_5012,p_30201,dev_10,2021-03-10,2022-04-11
p_5012,p_93830,dev_2370,2019-10-28,2020-12-15
p_5013,p_11840,dev_1495,2021-11-19,2022-02-13
p_5013,p_14337,dev_112,2021-03-06,2020-02-26
p_5013,p_26761,dev_2285,2021-01-12,2020-10-26
p_5013,p_27599,dev_405,2022-03-09,2021-05-19
p_5013,p_31676,dev_1327,2019-11-03,2019-10-21
p_5014,p_13093,dev_1,2020-07-06,2020-12-28
p_5014,p_19619,dev_9,2019-07-29,2020-04-23
p_5014,p_37680,dev_64,2021-05-02,2021-08-23
p_5014,p_51547,dev_93,2021-01-09,2020-11-30
p_5014,p_76219,dev_1522,2020-03-25,2020-09-12
p_5015,p_10367,dev_1,2020-05-15,2020-04-15
p_5015,p_46969,dev_791,2021-06-12,2021-04-10
p_5015,p_47651,dev_69,2021-09-19,2020-07-29
p_5015,p_93849,dev_1754,2021-10-20,2021-05-30
p_5016,p_13315,dev_3,2020-09-10,2020-10-06
p_5016,p_29731,dev_95,2020-11-19,2020-04-16
p_5016,p_37656,dev_1423,2022-01-08,2020-02-26
p_5016,p_47751,dev_75,2021-10-24,2019-06-06
p_5016,p_72227,dev_80,2019-06-26,2020-07-08
p_5017,p_14799,dev_82,2020-10-03,2020-08-30
p_5017,p_22455,dev_1857,2020-02-08,2020-07-21
p_5017,p_43729,dev_2180,2021-10-14,2020-04-30
p_5017,p_63862,dev_1,2019-10-13,2021-09-15
p_5018,p_7768,dev_8,2019-12-05,2021-01-28
p_5018,p_20698,dev_66,2019-06-02,2020-01-10
p_5018,p_51419,dev_1839,2020-04-29,2021-07-09
p_5018,p_75132,dev_1,2021-10-07,2020-07-14
p_5019,p_9080,dev_1,2020-03-10,2022-05-01
p_5019,p_16160,dev_1291,2021-04-22,2021-08-06
p_5019,p_37596,dev_739,2021-01-08,2022-01-29
p_5019,p_39065,dev_893,2020-01-12,2021-11-26
p_5019,p_53157,dev_2581,2019-11-26,2019-11-21
p_5020,p_8305,dev_6,2020-10-22,2021-09-06
p_5020,p_55557,dev_2951,2020-12-24,2019-06-17
p_5020,p_86552,dev_966,2021-07-25,2020-01-27
p_5020,p_86893,dev_2780,2019-12-27,2021-08-24
p_5021,p_14450,dev_419,2020-04-27,2019-09-23
p_5021,p_81018,dev_2590,2019-10-05,2020-09-17
p_5021,p_86698,dev_10,2021-02-10,2020-08-28
p_5021,p_91039,dev_137,2021-02-26,2019-08-11
p_5021,p_95640,dev_52,2021-10-15,2020-07-20
p_5022,p_8574,dev_60,2021-08-21,2020-03-27
p_5022,p_13829,dev_1510,2021-03-11,2020-01-22
p_5022,p_60854,dev_2638,2020-10-04,2020-05-30
p_5022,p_93964,dev_44,2019-10-03,2020-10-04
p_5023,p_11428,dev_85,2022-04-10,2020-07-31
p_5023,p_24270,dev_1904,2021-05-24,2019-10-31
p_5023,p_35998,dev_659,2021-04-01,2019-08-03
p_5023,p_81562,dev_71,2020-06-27,2021-10-18
p_5023,p_85436,dev_147,2021-02-19,2020-04-28
