src_id,dst_id,corp_id,src_work_for_start_time,dst_work_for_start_time
p_29530,p_79880,co_6990,2021-02-26,2020-03-05
p_29531,p_68456,co_9129,2021-07-06,2022-06-15
p_29531,p_87877,co_1,2020-12-26,2019-08-19
p_29532,p_51537,co_7,2020-02-11,2020-09-20
p_29532,p_52939,co_1,2021-07-21,2022-04-04
p_29532,p_62274,co_3355,2021-03-17,2021-08-17
p_29533,p_36884,co_90,2020-02-23,2022-02-23
p_29534,p_35221,co_7834,2022-03-11,2021-06-15
p_29535,p_41741,co_667,2019-12-05,2019-08-08
p_29535,p_92939,co_1,2022-06-12,2020-06-02
p_29536,p_34743,co_14,2020-04-21,2021-10-31
p_29536,p_52797,co_1,2021-05-01,2020-07-23
p_29536,p_68932,co_7662,2020-02-25,2020-09-24
p_29537,p_46768,co_6703,2020-09-05,2019-11-12
p_29537,p_78911,co_5602,2020-01-18,2020-02-23
p_29538,p_33520,co_4098,2022-05-05,2021-11-22
p_29538,p_88479,co_1,2021-04-12,2020-03-27
p_29539,p_32190,co_6272,2021-04-20,2021-11-13
p_29539,p_78270,co_1820,2021-02-18,2022-01-22
p_29540,p_96257,co_2513,2020-06-27,2021-10-15
p_29540,p_97502,co_677,2020-07-16,2020-01-05
p_29541,p_39981,co_452,2020-02-02,2021-03-24
p_29542,p_54207,co_8003,2021-03-24,2019-10-27
p_29544,p_34946,co_323,2022-02-07,2019-07-16
p_29544,p_51534,co_3204,2020-04-16,2019-08-17
p_29546,p_45637,co_2700,2020-11-06,2020-08-22
p_29546,p_67524,co_1,2020-04-01,2021-10-14
p_29547,p_32642,co_2147,2020-12-06,2021-07-17
p_29547,p_52853,co_3654,2021-10-03,2021-06-16
p_29548,p_35365,co_7256,2021-02-22,2021-03-27
p_29549,p_82006,co_5772,2020-11-05,2019-07-17
p_29550,p_45168,co_164,2022-06-15,2021-03-29
p_29550,p_54967,co_7850,2020-12-07,2020-02-21
p_29550,p_62523,co_5,2021-12-14,2020-06-08
p_29551,p_35594,co_5325,2020-07-27,2021-02-16
p_29551,p_84384,co_9,2019-11-01,2019-11-01
p_29552,p_41001,co_1136,2020-12-14,2022-03-08
p_29552,p_55806,co_1,2022-01-15,2020-10-04
p_29553,p_86239,co_2038,2020-03-15,2022-04-25
p_29554,p_58245,co_5108,2021-03-17,2021-11-20
p_29554,p_93441,co_2566,2021-11-28,2021-08-16
p_29555,p_98028,co_9415,2022-01-25,2021-12-03
p_29556,p_44742,co_785,2021-12-17,2020-06-07
p_29556,p_95471,co_6405,2022-04-28,2020-05-09
p_29557,p_43040,co_3628,2019-09-09,2022-03-31
p_29557,p_55904,co_7015,2020-06-07,2021-06-30
p_29557,p_75351,co_1,2021-09-22,2022-04-16
p_29558,p_32388,co_1,2022-04-27,2022-03-31
p_29560,p_62999,co_5481,2022-05-27,2020-11-26
p_29560,p_97858,co_3991,2022-01-12,2022-03-24
p_29561,p_97862,co_1220,2020-06-05,2021-05-12
p_29562,p_77858,co_7422,2020-06-17,2020-12-07
p_29562,p_86508,co_7553,2021-11-16,2021-06-23
p_29563,p_51445,co_8120,2019-07-06,2021-06-07
p_29563,p_58013,co_2472,2022-06-15,2020-09-17
p_29565,p_56215,co_4538,2020-05-23,2022-02-03
p_29565,p_63715,co_81,2021-08-03,2022-01-18
p_29566,p_81188,co_1,2020-03-26,2021-05-19
p_29566,p_85541,co_3986,2020-03-11,2021-04-19
p_29567,p_36609,co_665,2021-12-30,2021-10-02
p_29567,p_53517,co_7,2020-03-19,2020-02-02
p_29568,p_45296,co_6883,2020-12-22,2020-06-08
p_29569,p_42649,co_9018,2021-11-03,2021-06-27
p_29569,p_93307,co_8568,2020-03-13,2021-10-31
p_29569,p_94120,co_9221,2022-02-11,2022-05-31
p_29570,p_38279,co_8746,2020-03-10,2020-07-23
p_29570,p_57822,co_5,2020-07-12,2021-12-30
p_29571,p_59867,co_400,2021-10-10,2020-06-17
p_29571,p_96417,co_2,2020-08-03,2021-08-17
p_29572,p_83338,co_732,2021-10-17,2021-07-09
p_29573,p_64032,co_6590,2021-07-16,2021-06-27
p_29573,p_95160,co_1551,2020-01-02,2022-04-01
p_29573,p_97917,co_93,2021-09-10,2021-06-25
p_29574,p_70568,co_7106,2019-09-30,2019-10-31
p_29575,p_39446,co_2694,2021-08-30,2022-05-03
p_29575,p_49995,co_341,2020-05-30,2019-12-29
p_29576,p_31043,co_4250,2022-01-27,2020-06-01
p_29577,p_49574,co_767,2021-10-08,2020-06-24
p_29577,p_72435,co_1,2021-03-04,2021-02-22
p_29577,p_77751,co_3583,2021-09-23,2022-02-10
p_29578,p_37308,co_736,2022-03-19,2020-10-01
p_29578,p_41942,co_5014,2019-10-15,2019-10-19
p_29578,p_74010,co_5723,2020-08-09,2019-12-16
p_29579,p_80640,co_6081,2020-04-10,2021-10-24
p_29579,p_92277,co_3755,2020-05-22,2021-02-19
p_29580,p_34606,co_5456,2021-12-22,2019-09-17
p_29580,p_42357,co_56,2019-10-12,2020-09-03
p_29581,p_40107,co_5,2021-05-10,2021-04-15
p_29581,p_55270,co_5632,2019-08-15,2020-11-06
p_29581,p_69319,co_6173,2020-08-22,2020-02-20
p_29583,p_56306,co_59,2020-06-05,2021-02-19
p_29583,p_87836,co_3508,2022-04-09,2021-07-18
p_29584,p_91234,co_2137,2021-04-20,2020-03-27
p_29585,p_61046,co_5450,2022-05-25,2020-10-16
p_29586,p_41053,co_2369,2021-09-21,2021-09-24
p_29587,p_34384,co_5702,2020-04-18,2020-05-20
p_29587,p_52659,co_742,2019-11-09,2021-05-29
p_29588,p_58268,co_1830,2021-05-19,2019-08-18
p_29588,p_96523,co_79,2021-09-18,2021-04-25
p_29588,p_98831,co_6415,2019-09-07,2020-04-11
p_29589,p_50627,co_1,2019-12-09,2021-09-11
p_29589,p_90069,co_9,2020-06-27,2020-04-05
p_29590,p_42234,co_92,2022-01-23,2021-10-08
p_29590,p_65391,co_5722,2019-07-12,2021-10-13
p_29591,p_49456,co_1,2021-02-09,2022-03-06
p_29591,p_88882,co_6824,2019-10-31,2022-01-17
p_29592,p_41721,co_7,2022-04-16,2022-05-10
p_29592,p_54777,co_6545,2020-04-23,2020-11-13
p_29593,p_62506,co_1,2022-05-07,2022-03-11
p_29593,p_72074,co_2146,2020-05-26,2022-04-23
p_29593,p_98174,co_547,2021-12-25,2019-09-10
p_29594,p_34956,co_1,2020-07-25,2019-08-27
p_29594,p_65924,co_684,2020-02-17,2021-07-26
p_29595,p_37262,co_3617,2022-01-27,2022-01-26
p_29595,p_40389,co_824,2019-10-17,2019-12-10
p_29596,p_42656,co_88,2020-04-06,2019-09-10
p_29596,p_46540,co_1,2020-12-19,2019-10-20
p_29597,p_32359,co_7897,2021-03-01,2020-08-10
p_29597,p_61660,co_6,2020-11-14,2021-04-07
p_29598,p_35627,co_5968,2022-03-13,2022-05-10
p_29598,p_60262,co_936,2020-09-22,2022-05-23
p_29599,p_30775,co_9435,2021-02-27,2022-01-26
p_29599,p_54218,co_4959,2020-12-22,2021-09-22
p_29599,p_89900,co_4706,2021-06-09,2020-02-01
p_29600,p_37265,co_8328,2022-05-28,2021-02-15
p_29600,p_47531,co_28,2021-05-25,2020-01-01
p_29601,p_75874,co_9246,2020-12-16,2021-05-14
p_29601,p_90092,co_6,2020-12-11,2019-11-26
p_29602,p_63593,co_7241,2021-09-23,2022-03-16
p_29602,p_86670,co_1,2019-10-01,2019-11-23
p_29603,p_71441,co_1,2020-12-18,2021-02-07
