src_id,dst_id,corp_id,pn_id,src_work_for_start_time
p_40332,p_42557,co_2,pn_7,2019-11-08
p_40332,p_95456,co_1,pn_26,2020-06-10
p_40333,p_74894,co_700,pn_85662,2021-12-26
p_40337,p_84227,co_389,pn_79350,2019-08-14
p_40337,p_97306,co_7817,pn_13374,2021-04-08
p_40338,p_65413,co_1,pn_409,2020-01-22
p_40340,p_64352,co_4,pn_39975,2022-04-24
p_40341,p_63871,co_6,pn_47179,2020-02-29
p_40342,p_83683,co_1536,pn_44315,2020-08-27
p_40343,p_79378,co_1922,pn_31388,2021-10-03
p_40345,p_57081,co_1,pn_70,2019-09-18
p_40346,p_92555,co_41,pn_6,2020-11-25
p_40346,p_99536,co_6778,pn_85387,2020-09-01
p_40347,p_42319,co_2034,pn_1,2021-08-04
p_40348,p_68887,co_7455,pn_16922,2019-08-08
p_40349,p_88819,co_3139,pn_1892,2022-02-28
p_40350,p_85954,co_35,pn_794,2022-04-19
p_40350,p_97006,co_860,pn_12564,2021-11-27
p_40352,p_99419,co_4002,pn_10,2019-09-22
p_40354,p_77437,co_6290,pn_39718,2021-05-18
p_40355,p_92426,co_7176,pn_79530,2021-08-01
p_40356,p_78114,co_7518,pn_1,2020-01-02
p_40359,p_88268,co_8144,pn_6936,2021-05-04
p_40361,p_77769,co_8,pn_2,2021-10-07
p_40363,p_92148,co_399,pn_1,2021-10-01
p_40363,p_95387,co_7572,pn_41329,2020-12-11
p_40364,p_45658,co_2307,pn_20703,2021-06-02
p_40364,p_54330,co_746,pn_955,2020-04-30
p_40370,p_63174,co_7661,pn_824,2020-04-05
p_40370,p_74174,co_84,pn_77709,2019-10-04
p_40372,p_42149,co_3239,pn_11765,2022-01-14
p_40373,p_42594,co_7288,pn_528,2021-09-06
p_40373,p_69371,co_6,pn_6,2019-11-20
p_40374,p_49851,co_2747,pn_44661,2020-05-13
p_40374,p_65986,co_4012,pn_2013,2020-10-08
p_40375,p_41745,co_8,pn_63,2021-08-03
p_40376,p_40757,co_1,pn_84259,2021-12-20
p_40377,p_91803,co_647,pn_64841,2021-02-10
p_40378,p_42210,co_7082,pn_49245,2021-01-05
p_40378,p_56702,co_6793,pn_87087,2020-05-25
p_40380,p_98343,co_486,pn_23744,2020-12-31
p_40381,p_44046,co_36,pn_1,2019-08-01
p_40381,p_95578,co_1,pn_85377,2021-01-16
p_40383,p_76336,co_51,pn_19387,2020-02-04
p_40385,p_71049,co_1,pn_10,2020-07-12
p_40385,p_78056,co_1,pn_5455,2021-09-26
p_40387,p_47678,co_825,pn_26980,2021-12-19
p_40387,p_85201,co_1785,pn_6853,2020-11-06
p_40388,p_67922,co_3685,pn_79407,2021-02-04
p_40390,p_58520,co_5868,pn_4878,2020-09-24
p_40391,p_47843,co_1,pn_10692,2019-10-15
p_40392,p_90385,co_2469,pn_41578,2021-02-04
p_40394,p_41697,co_1245,pn_9,2021-11-25
p_40395,p_92926,co_5296,pn_60887,2020-01-09
p_40398,p_88911,co_8701,pn_402,2019-10-26
p_40399,p_64935,co_913,pn_2662,2022-04-24
p_40399,p_67198,co_4786,pn_71239,2021-01-04
p_40400,p_50731,co_1616,pn_32026,2021-06-24
p_40400,p_79637,co_1,pn_5383,2021-12-09
p_40403,p_99552,co_521,pn_1,2022-05-16
p_40404,p_76819,co_8270,pn_6150,2019-07-27
p_40406,p_54380,co_9049,pn_40740,2019-07-15
p_40406,p_54522,co_1,pn_1,2019-08-09
p_40407,p_76295,co_1,pn_3,2020-03-28
p_40410,p_63714,co_7393,pn_1,2021-03-30
p_40410,p_76112,co_2983,pn_10,2019-07-06
p_40412,p_45444,co_1,pn_50319,2022-01-06
p_40413,p_93653,co_5,pn_27,2020-09-10
p_40414,p_46499,co_1,pn_1,2019-11-14
p_40415,p_75030,co_1815,pn_66420,2021-01-28
p_40415,p_78529,co_1,pn_3,2019-07-06
p_40416,p_74932,co_659,pn_8133,2019-08-02
p_40417,p_69676,co_7120,pn_77228,2021-07-05
p_40420,p_93003,co_1865,pn_39514,2020-09-11
p_40421,p_48331,co_2389,pn_669,2022-02-12
p_40421,p_58647,co_6154,pn_879,2021-06-16
p_40422,p_43055,co_14,pn_620,2019-09-06
p_40422,p_44780,co_449,pn_43809,2022-06-25
p_40423,p_98603,co_9410,pn_72302,2021-07-11
p_40424,p_71647,co_9,pn_77294,2019-12-07
p_40424,p_93350,co_5564,pn_82421,2019-09-28
p_40426,p_44417,co_235,pn_62,2020-05-07
p_40428,p_65790,co_1,pn_96,2022-01-21
p_40428,p_82723,co_8937,pn_72931,2019-07-11
p_40429,p_74325,co_4003,pn_74696,2020-09-02
p_40431,p_47942,co_3948,pn_3714,2019-08-14
p_40432,p_56050,co_5795,pn_864,2021-04-27
p_40433,p_52399,co_4517,pn_57744,2020-03-17
p_40434,p_83095,co_185,pn_43484,2022-05-13
p_40435,p_48916,co_43,pn_30,2021-09-26
p_40436,p_81422,co_2605,pn_10716,2021-06-04
p_40436,p_83429,co_3137,pn_1,2020-11-13
p_40437,p_43567,co_4397,pn_9561,2022-03-07
p_40437,p_44958,co_1,pn_3759,2019-10-08
p_40438,p_86699,co_1510,pn_62,2020-10-10
p_40440,p_53984,co_6671,pn_27240,2021-09-24
p_40440,p_84954,co_823,pn_26405,2020-02-12
p_40441,p_60274,co_9,pn_62667,2021-07-03
p_40441,p_71035,co_5809,pn_57433,2021-01-08
p_40443,p_52981,co_6425,pn_391,2021-01-23
p_40443,p_55005,co_8400,pn_2,2020-07-28
p_40444,p_79267,co_4800,pn_1,2020-01-20
p_40444,p_92247,co_3066,pn_71453,2021-12-15
p_40445,p_43115,co_4154,pn_23075,2021-08-09
p_40447,p_59675,co_466,pn_32503,2020-08-03
p_40447,p_79616,co_1,pn_42457,2020-03-16
p_40449,p_54735,co_40,pn_15279,2019-06-30
p_40450,p_71592,co_60,pn_30869,2019-10-23
p_40451,p_68713,co_2741,pn_80115,2022-04-07
p_40452,p_52579,co_9381,pn_36219,2019-09-01
p_40452,p_55830,co_5465,pn_15,2021-04-05
p_40454,p_66659,co_1,pn_84057,2022-02-24
p_40456,p_51685,co_7860,pn_4456,2020-06-26
p_40457,p_66833,co_6939,pn_754,2021-05-27
p_40459,p_46892,co_8389,pn_14286,2021-06-27
p_40460,p_43966,co_165,pn_1602,2019-08-09
p_40461,p_55570,co_5741,pn_1,2020-03-25
p_40464,p_64626,co_2403,pn_89,2021-05-09
p_40465,p_75721,co_8115,pn_35113,2019-09-24
p_40466,p_56032,co_768,pn_1110,2022-04-01
p_40466,p_73618,co_3,pn_10880,2020-01-03
p_40468,p_68816,co_6116,pn_1,2021-10-22
p_40468,p_96782,co_2715,pn_64348,2021-08-17
p_40469,p_43523,co_906,pn_86458,2021-02-23
p_40470,p_49410,co_8177,pn_710,2020-10-15
p_40470,p_83487,co_458,pn_9452,2019-07-28
p_40471,p_98600,co_2642,pn_412,2020-01-26
p_40472,p_86672,co_524,pn_41801,2021-11-11
p_40472,p_92320,co_5328,pn_422,2021-11-18
p_40473,p_81828,co_1435,pn_54583,2021-09-09
p_40474,p_64928,co_4465,pn_39813,2021-03-29
p_40475,p_73634,co_1308,pn_4,2019-11-27
p_40476,p_54138,co_442,pn_965,2019-12-13
p_40477,p_45484,co_3257,pn_41,2020-03-26
p_40477,p_72743,co_1,pn_1,2020-01-27
p_40478,p_89176,co_563,pn_270,2020-03-10
p_40479,p_79399,co_7180,pn_1,2021-10-06
p_40480,p_44856,co_6033,pn_60718,2021-03-04
p_40480,p_46258,co_6461,pn_24856,2020-07-02
p_40483,p_52613,co_8906,pn_54555,2019-11-05
p_40484,p_44336,co_520,pn_134,2021-12-07
p_40485,p_59523,co_6497,pn_49284,2019-08-20
p_40486,p_76056,co_5,pn_7918,2021-07-10
p_40488,p_86959,co_6191,pn_16742,2021-11-03
p_40488,p_91181,co_8548,pn_73,2019-07-14
p_40490,p_71541,co_37,pn_225,2021-05-01
p_40490,p_72570,co_103,pn_3,2022-02-02
p_40491,p_49940,co_791,pn_35909,2020-07-12
p_40491,p_84852,co_7969,pn_28676,2019-11-10
p_40492,p_52958,co_6769,pn_44,2022-05-10
p_40492,p_69428,co_255,pn_71280,2019-07-14
p_40493,p_75114,co_8696,pn_8484,2020-09-25
p_40495,p_63415,co_3624,pn_10,2020-10-06
p_40496,p_85509,co_3907,pn_7,2019-08-31
p_40496,p_97857,co_3427,pn_8,2021-04-17
p_40497,p_58223,co_6452,pn_1,2022-05-26
p_40498,p_53594,co_10,pn_803,2021-06-15
p_40500,p_98100,co_5995,pn_14804,2019-07-18
p_40502,p_52373,co_6,pn_85857,2020-08-27
p_40503,p_49684,co_7694,pn_59137,2019-08-05
p_40507,p_61504,co_1492,pn_61864,2019-07-12
p_40507,p_70372,co_5336,pn_58,2021-10-14
p_40508,p_97602,co_1,pn_9473,2020-06-27
p_40510,p_57144,co_2899,pn_184,2021-01-22
p_40511,p_46314,co_76,pn_545,2019-12-11
p_40511,p_66334,co_924,pn_1,2021-07-19
p_40512,p_76131,co_7,pn_3019,2021-10-03
p_40514,p_99879,co_45,pn_8,2021-06-06
p_40515,p_66139,co_257,pn_97,2020-07-16
p_40516,p_56848,co_1,pn_3,2020-01-31
p_40516,p_73170,co_1253,pn_1,2020-10-13
p_40517,p_72755,co_3,pn_63,2021-04-13
p_40517,p_79918,co_249,pn_55891,2020-07-23
p_40520,p_93941,co_918,pn_293,2022-02-05
p_40522,p_84972,co_3506,pn_922,2019-10-23
p_40525,p_81667,co_792,pn_52,2021-10-03
p_40526,p_81127,co_7217,pn_83836,2021-01-20
p_40526,p_82998,co_1,pn_1,2020-06-02
p_40528,p_77051,co_8842,pn_32390,2021-10-05
p_40529,p_61794,co_99,pn_9,2020-03-16
p_40530,p_87701,co_2455,pn_1,2021-07-25
p_40531,p_74081,co_1,pn_81891,2019-10-09
p_40532,p_66984,co_1,pn_1,2020-08-28
p_40533,p_66204,co_13,pn_53954,2019-09-06
p_40533,p_69209,co_3559,pn_1,2020-08-14
p_40534,p_57260,co_833,pn_10,2019-11-13
p_40534,p_95675,co_7350,pn_3587,2020-02-16
p_40536,p_59199,co_1,pn_5,2022-04-30
p_40536,p_59203,co_2771,pn_1,2021-07-26
p_40537,p_47567,co_5186,pn_32,2021-10-08
p_40537,p_83788,co_1,pn_1,2021-10-11
p_40538,p_68763,co_8377,pn_143,2022-05-22
p_40539,p_61872,co_9367,pn_34083,2021-04-30
p_40540,p_63929,co_4094,pn_55,2020-05-09
p_40542,p_66025,co_8731,pn_88759,2020-11-24
p_40544,p_43224,co_5,pn_1,2020-02-24
p_40545,p_60263,co_5881,pn_89,2020-11-07
p_40546,p_76501,co_7850,pn_66857,2021-09-02
p_40547,p_46135,co_4714,pn_31684,2022-05-16
p_40547,p_83777,co_1566,pn_107,2021-05-29
p_40548,p_73086,co_96,pn_339,2022-06-11
p_40549,p_69771,co_142,pn_64597,2019-07-01
p_40550,p_63790,co_8754,pn_61,2022-05-09
p_40550,p_71275,co_2438,pn_1,2020-07-23
p_40551,p_73188,co_8526,pn_86,2020-05-14
p_40552,p_76834,co_8237,pn_81556,2021-02-14
p_40552,p_86975,co_3,pn_44100,2022-05-06
p_40553,p_49569,co_1,pn_453,2022-06-27
p_40554,p_64878,co_9392,pn_47203,2021-11-05
p_40555,p_55227,co_5,pn_3,2021-06-20
p_40555,p_81471,co_3135,pn_28363,2020-01-09
p_40556,p_52877,co_25,pn_74190,2019-11-02
p_40556,p_77882,co_86,pn_7,2019-09-26
p_40557,p_68701,co_7717,pn_1,2021-09-17
p_40557,p_89449,co_8469,pn_1,2022-06-06
p_40558,p_54472,co_7863,pn_20991,2021-05-20
p_40559,p_70492,co_5905,pn_3127,2020-06-17
p_40559,p_84022,co_1,pn_50392,2021-07-28
p_40561,p_55796,co_1509,pn_98,2022-04-26
p_40561,p_78383,co_4391,pn_1595,2021-12-02
p_40562,p_60461,co_4535,pn_2,2019-08-22
p_40562,p_84224,co_1876,pn_40987,2020-12-15
p_40563,p_86245,co_7417,pn_9196,2021-01-12
p_40565,p_83037,co_2,pn_3507,2019-12-08
p_40565,p_84023,co_6,pn_63520,2021-02-09
p_40567,p_49727,co_5519,pn_79842,2020-05-18
p_40568,p_59442,co_3916,pn_1,2021-03-09
p_40568,p_71416,co_5997,pn_1,2020-04-05
p_40569,p_93180,co_3799,pn_6,2020-02-14
p_40570,p_78196,co_3223,pn_8,2021-08-02
p_40570,p_88594,co_4679,pn_3,2020-07-12
p_40572,p_68419,co_5142,pn_72700,2020-08-06
p_40572,p_99665,co_40,pn_33,2022-05-21
p_40573,p_46312,co_1830,pn_46556,2019-09-18
p_40575,p_76089,co_3814,pn_9323,2020-09-25
p_40576,p_98180,co_1,pn_59460,2021-10-25
p_40577,p_45625,co_83,pn_935,2021-01-10
p_40579,p_48330,co_1,pn_58,2020-12-30
p_40582,p_74749,co_1,pn_3,2021-02-12
p_40584,p_93190,co_8747,pn_71,2022-06-20
p_40586,p_75498,co_945,pn_36587,2020-12-21
p_40588,p_61090,co_1,pn_42535,2019-11-10
p_40588,p_64976,co_1020,pn_48990,2021-01-02
p_40591,p_59333,co_5,pn_1,2021-02-12
p_40592,p_57521,co_453,pn_40784,2020-08-20
p_40593,p_57358,co_4874,pn_1,2020-11-19
p_40594,p_48032,co_8118,pn_3,2022-02-11
p_40594,p_69870,co_7691,pn_1,2021-09-20
p_40595,p_57545,co_7322,pn_33212,2021-05-30
p_40595,p_74486,co_7546,pn_80409,2021-09-19
p_40596,p_65378,co_50,pn_697,2019-10-09
p_40596,p_97048,co_5205,pn_9264,2021-02-20
p_40597,p_78112,co_3,pn_1,2020-07-23
p_40597,p_96254,co_1,pn_1,2021-05-12
p_40599,p_94278,co_5614,pn_48495,2021-03-23
p_40600,p_66850,co_7677,pn_43072,2021-04-09
p_40600,p_90949,co_103,pn_588,2021-09-24
p_40601,p_46484,co_218,pn_70654,2021-01-18
p_40602,p_84442,co_7,pn_47,2020-11-11
